Date,CallWall,PutWall
2026-06-26,300.0,250.0
2026-06-29,320.0,250.0
2026-06-30,330.0,250.0
2026-07-01,360.0,327.5
2026-07-02,350.0,345.0
2026-07-06,360.0,340.0
2026-07-07,360.0,340.0
2026-07-08,320.0,325.0
2026-07-09,330.0,325.0
2026-07-10,320.0,325.0
2026-07-13,320.0,305.0
2026-07-14,380.0,305.0
2026-07-15,380.0,337.5
2026-07-16,360.0,280.0
2026-07-17,355.0,350.0
2026-07-20,390.0,347.5
2026-07-21,390.0,347.5
2026-07-22,360.0,332.5
2026-07-23,350.0,332.5
2026-07-24,360.0,325.0
2026-07-27,350.0,312.5
2026-07-28,360.0,310.0
2026-07-29,350.0,310.0
2026-07-30,320.0,310.0
2026-07-31,350.0,315.0
2026-08-03,370.0,315.0
2026-08-04,370.0,327.5
2026-08-05,370.0,327.5
2026-08-06,370.0,327.5
2026-08-07,360.0,327.5
2026-08-10,400.0,280.0
2026-08-11,400.0,357.5
2026-08-12,400.0,357.5
2026-08-13,400.0,340.0
2026-08-14,400.0,382.5
2026-08-17,380.0,355.0
2026-08-18,380.0,355.0
2026-08-19,380.0,355.0
2026-08-20,380.0,355.0
2026-08-21,360.0,355.0
2026-08-24,380.0,340.0
2026-08-25,380.0,340.0
2026-08-26,380.0,340.0
2026-08-27,380.0,320.0
2026-08-28,420.0,367.5
2026-08-31,380.0,320.0
2026-09-01,380.0,320.0
2026-09-02,380.0,320.0
2026-09-03,370.0,325.0
2026-09-04,337.5,332.5
2026-09-08,380.0,325.0
2026-09-09,360.0,325.0
2026-09-10,360.0,325.0
2026-09-11,360.0,320.0
2026-09-14,380.0,320.0
2026-09-15,380.0,320.0
2026-09-16,380.0,320.0
2026-09-17,380.0,372.5
2026-09-18,362.5,360.0
2026-09-21,400.0,320.0
2026-09-22,400.0,320.0
2026-09-23,400.0,320.0
2026-09-24,400.0,360.0
