Date,CallWall,PutWall
2026-06-26,82.5,75.0
2026-06-29,82.5,75.0
2026-06-30,82.5,75.0
2026-07-01,82.5,75.0
2026-07-02,82.5,75.0
2026-07-06,82.5,75.0
2026-07-07,82.5,75.0
2026-07-08,82.5,77.5
2026-07-09,82.5,77.5
2026-07-10,82.5,70.0
2026-07-13,82.5,70.0
2026-07-14,82.5,70.0
2026-07-15,82.5,70.0
2026-07-16,82.5,70.0
2026-07-17,82.5,70.0
2026-07-20,82.5,70.0
2026-07-21,82.5,70.0
2026-07-22,82.5,70.0
2026-07-23,82.5,70.0
2026-07-24,82.5,70.0
2026-07-27,82.5,70.0
2026-07-28,82.5,70.0
2026-07-29,82.5,70.0
2026-07-30,82.5,70.0
2026-07-31,82.5,70.0
2026-08-03,82.5,70.0
2026-08-04,82.5,70.0
2026-08-05,77.5,70.0
2026-08-06,77.5,70.0
2026-08-07,77.5,70.0
2026-08-10,77.5,70.0
2026-08-11,77.5,70.0
2026-08-12,77.5,70.0
2026-08-13,77.5,70.0
2026-08-14,77.5,70.0
2026-08-17,77.5,70.0
2026-08-18,77.5,70.0
2026-08-19,77.5,70.0
2026-08-20,77.5,70.0
2026-08-21,82.5,70.0
2026-08-24,82.5,70.0
2026-08-25,82.5,70.0
2026-08-26,82.5,70.0
2026-08-27,82.5,70.0
2026-08-28,82.5,70.0
2026-08-31,82.5,70.0
2026-09-01,82.5,70.0
2026-09-02,82.5,70.0
2026-09-03,75.0,70.0
2026-09-04,82.5,70.0
2026-09-07,75.0,70.0
2026-09-08,75.0,70.0
2026-09-09,82.5,70.0
2026-09-10,82.5,70.0
2026-09-11,75.0,70.0
2026-09-14,77.5,70.0
2026-09-15,75.0,70.0
2026-09-16,75.0,70.0
2026-09-17,77.5,70.0
2026-09-18,75.0,70.0
2026-09-21,75.0,70.0
2026-09-22,77.5,70.0
2026-09-23,77.5,70.0
2026-09-24,77.5,70.0
