Date,CallWall,PutWall
2026-06-26,145.0,140.0
2026-06-29,145.0,140.0
2026-06-30,150.0,135.0
2026-07-01,145.0,140.0
2026-07-02,145.0,140.0
2026-07-06,145.0,140.0
2026-07-07,145.0,140.0
2026-07-08,145.0,140.0
2026-07-09,150.0,140.0
2026-07-10,150.0,137.0
2026-07-13,145.0,135.0
2026-07-14,145.0,135.0
2026-07-15,145.0,135.0
2026-07-16,145.0,135.0
2026-07-17,138.0,135.0
2026-07-20,140.0,135.0
2026-07-21,140.0,135.0
2026-07-22,140.0,135.0
2026-07-23,140.0,135.0
2026-07-24,140.0,135.0
2026-07-27,140.0,135.0
2026-07-28,144.0,135.0
2026-07-29,144.0,135.0
2026-07-30,140.0,135.0
2026-07-31,140.0,135.0
2026-08-03,143.0,135.0
2026-08-04,143.0,135.0
2026-08-05,140.0,135.0
2026-08-06,140.0,135.0
2026-08-07,140.0,138.0
2026-08-10,139.0,135.0
2026-08-11,139.0,135.0
2026-08-12,139.0,135.0
2026-08-13,139.0,135.0
2026-08-14,141.0,130.0
2026-08-17,140.0,135.0
2026-08-18,142.0,130.0
2026-08-19,145.0,135.0
2026-08-20,145.0,130.0
2026-08-21,143.0,130.0
2026-08-24,145.0,130.0
2026-08-25,145.0,130.0
2026-08-26,145.0,142.0
2026-08-27,145.0,130.0
2026-08-28,145.0,142.0
2026-08-31,145.0,130.0
2026-09-01,145.0,130.0
2026-09-02,145.0,135.0
2026-09-03,145.0,135.0
2026-09-04,145.0,138.0
2026-09-07,145.0,135.0
2026-09-08,145.0,135.0
2026-09-09,145.0,135.0
2026-09-10,145.0,135.0
2026-09-11,155.0,135.0
2026-09-14,155.0,135.0
2026-09-15,155.0,135.0
2026-09-16,155.0,135.0
2026-09-17,155.0,135.0
2026-09-18,155.0,130.0
2026-09-21,155.0,134.0
2026-09-22,155.0,134.0
2026-09-23,155.0,130.0
2026-09-24,155.0,129.0
