Date,CallWall,PutWall
2026-06-26,220.0,190.0
2026-06-29,220.0,207.5
2026-06-30,220.0,190.0
2026-07-01,222.5,225.0
2026-07-02,230.0,225.0
2026-07-06,230.0,232.5
2026-07-07,237.5,232.5
2026-07-08,237.5,232.5
2026-07-09,230.0,232.5
2026-07-10,230.0,232.5
2026-07-13,230.0,232.5
2026-07-14,230.0,222.5
2026-07-15,215.0,210.0
2026-07-16,220.0,205.0
2026-07-17,210.0,205.0
2026-07-20,210.0,200.0
2026-07-21,215.0,200.0
2026-07-22,210.0,200.0
2026-07-23,210.0,200.0
2026-07-24,215.0,200.0
2026-07-27,225.0,200.0
2026-07-28,225.0,200.0
2026-07-29,225.0,200.0
2026-07-30,225.0,200.0
2026-07-31,225.0,200.0
2026-08-03,225.0,200.0
2026-08-04,215.0,200.0
2026-08-05,215.0,200.0
2026-08-06,215.0,200.0
2026-08-07,215.0,200.0
2026-08-10,225.0,200.0
2026-08-11,220.0,200.0
2026-08-12,220.0,200.0
2026-08-13,220.0,200.0
2026-08-14,215.0,200.0
2026-08-17,220.0,202.5
2026-08-18,215.0,202.5
2026-08-19,215.0,195.0
2026-08-20,225.0,195.0
2026-08-21,220.0,195.0
2026-08-24,230.0,210.0
2026-08-25,230.0,210.0
2026-08-26,230.0,210.0
2026-08-27,230.0,210.0
2026-08-28,220.0,210.0
2026-08-31,230.0,210.0
2026-09-01,230.0,217.5
2026-09-02,230.0,217.5
2026-09-03,230.0,210.0
2026-09-04,230.0,217.5
2026-09-07,230.0,210.0
2026-09-08,230.0,210.0
2026-09-09,220.0,215.0
2026-09-10,220.0,215.0
2026-09-11,220.0,215.0
2026-09-14,230.0,210.0
2026-09-15,230.0,210.0
2026-09-16,230.0,210.0
2026-09-17,230.0,210.0
2026-09-18,230.0,210.0
2026-09-21,230.0,210.0
2026-09-22,230.0,210.0
2026-09-23,230.0,210.0
2026-09-24,230.0,200.0
