Date,CallWall,PutWall
2026-06-26,140.0,141.0
2026-06-29,140.0,130.0
2026-06-30,140.0,135.0
2026-07-01,140.0,135.0
2026-07-02,140.0,135.0
2026-07-06,140.0,126.0
2026-07-07,140.0,130.0
2026-07-08,120.0,126.0
2026-07-09,120.0,126.0
2026-07-10,140.0,125.0
2026-07-13,120.0,125.0
2026-07-14,120.0,125.0
2026-07-15,140.0,125.0
2026-07-16,140.0,125.0
2026-07-17,140.0,126.0
2026-07-20,140.0,125.0
2026-07-21,140.0,125.0
2026-07-22,128.0,125.0
2026-07-23,128.0,125.0
2026-07-24,128.0,125.0
2026-07-27,140.0,130.0
2026-07-28,140.0,133.0
2026-07-29,140.0,130.0
2026-07-30,140.0,132.0
2026-07-31,140.0,130.0
2026-08-03,140.0,130.0
2026-08-04,133.0,130.0
2026-08-05,133.0,130.0
2026-08-06,133.0,130.0
2026-08-07,133.0,130.0
2026-08-10,142.0,130.0
2026-08-11,142.0,130.0
2026-08-12,133.0,130.0
2026-08-13,133.0,130.0
2026-08-14,140.0,130.0
2026-08-17,140.0,130.0
2026-08-18,140.0,120.0
2026-08-19,140.0,130.0
2026-08-20,140.0,130.0
2026-08-21,140.0,130.0
2026-08-24,140.0,120.0
2026-08-25,140.0,120.0
2026-08-26,140.0,120.0
2026-08-27,140.0,120.0
2026-08-28,140.0,120.0
2026-08-31,125.0,120.0
2026-09-01,125.0,120.0
2026-09-02,125.0,120.0
2026-09-03,125.0,120.0
2026-09-04,125.0,120.0
2026-09-07,125.0,120.0
2026-09-08,125.0,120.0
2026-09-09,125.0,120.0
2026-09-10,125.0,120.0
2026-09-11,125.0,120.0
2026-09-14,125.0,120.0
2026-09-15,125.0,120.0
2026-09-16,125.0,120.0
2026-09-17,125.0,120.0
2026-09-18,125.0,120.0
2026-09-21,130.0,120.0
2026-09-22,130.0,120.0
2026-09-23,130.0,120.0
2026-09-24,130.0,120.0
