Date,CallWall,PutWall
2026-06-26,21.5,19.0
2026-06-29,21.0,19.0
2026-06-30,21.0,19.0
2026-07-01,22.0,19.0
2026-07-02,22.0,19.0
2026-07-06,24.0,19.0
2026-07-07,24.0,19.0
2026-07-08,24.0,19.0
2026-07-09,24.0,19.0
2026-07-10,22.5,19.0
2026-07-13,24.0,19.0
2026-07-14,23.0,19.0
2026-07-15,24.0,20.0
2026-07-16,24.0,19.0
2026-07-17,23.0,20.0
2026-07-20,23.0,20.0
2026-07-21,23.0,20.0
2026-07-22,23.0,20.0
2026-07-23,23.0,20.0
2026-07-24,23.0,20.0
2026-07-27,23.0,20.0
2026-07-28,24.0,20.0
2026-07-29,24.0,20.0
2026-07-30,24.0,20.0
2026-07-31,24.0,20.0
2026-08-03,25.0,20.0
2026-08-04,26.0,20.0
2026-08-05,26.0,24.0
2026-08-06,25.0,24.0
2026-08-07,23.5,23.0
2026-08-10,25.0,20.0
2026-08-11,25.0,22.5
2026-08-12,25.0,22.5
2026-08-13,25.0,22.5
2026-08-14,24.0,21.0
2026-08-17,25.0,23.0
2026-08-18,24.0,23.0
2026-08-19,24.0,23.0
2026-08-20,24.0,22.0
2026-08-21,24.0,21.0
2026-08-24,24.0,23.0
2026-08-25,24.0,23.0
2026-08-26,24.0,23.0
2026-08-27,24.0,23.0
2026-08-28,24.0,23.0
2026-08-31,24.0,23.0
2026-09-01,24.0,21.0
2026-09-02,24.0,21.0
2026-09-03,24.0,21.0
2026-09-04,21.5,20.5
2026-09-08,21.5,23.0
2026-09-09,21.5,18.0
2026-09-10,21.5,18.5
2026-09-11,21.5,18.5
2026-09-14,19.5,18.5
2026-09-15,19.5,18.5
2026-09-16,19.5,18.5
2026-09-17,19.5,18.5
2026-09-18,19.5,18.5
2026-09-21,19.5,18.0
2026-09-22,19.5,18.0
2026-09-23,19.5,18.0
2026-09-24,19.5,17.0
