Date,CallWall,PutWall
2026-06-26,114.0,115.0
2026-06-29,118.0,100.0
2026-06-30,118.0,112.0
2026-07-01,127.0,100.0
2026-07-02,130.0,120.0
2026-07-06,132.0,120.0
2026-07-07,140.0,120.0
2026-07-08,140.0,120.0
2026-07-09,129.0,120.0
2026-07-10,129.0,125.0
2026-07-13,131.0,120.0
2026-07-14,140.0,120.0
2026-07-15,140.0,120.0
2026-07-16,135.0,120.0
2026-07-17,135.0,120.0
2026-07-20,140.0,125.0
2026-07-21,140.0,125.0
2026-07-22,130.0,125.0
2026-07-23,130.0,120.0
2026-07-24,130.0,125.0
2026-07-27,130.0,110.0
2026-07-28,130.0,120.0
2026-07-29,130.0,110.0
2026-07-30,130.0,110.0
2026-07-31,123.0,120.0
2026-08-03,140.0,110.0
2026-08-04,160.0,110.0
2026-08-05,165.0,155.0
2026-08-06,160.0,155.0
2026-08-07,170.0,148.0
2026-08-10,170.0,125.0
2026-08-11,180.0,162.5
2026-08-12,180.0,162.5
2026-08-13,180.0,167.5
2026-08-14,175.0,172.5
2026-08-17,180.0,167.5
2026-08-18,180.0,167.5
2026-08-19,180.0,167.5
2026-08-20,180.0,172.5
2026-08-21,180.0,170.0
2026-08-24,180.0,165.0
2026-08-25,180.0,165.0
2026-08-26,180.0,165.0
2026-08-27,190.0,165.0
2026-08-28,187.5,165.0
2026-08-31,190.0,172.5
2026-09-01,190.0,172.5
2026-09-02,190.0,165.0
2026-09-03,190.0,155.0
2026-09-04,177.5,175.0
2026-09-08,177.5,162.5
2026-09-09,180.0,162.5
2026-09-10,175.0,167.5
2026-09-11,170.0,165.0
2026-09-14,180.0,157.5
2026-09-15,180.0,162.5
2026-09-16,180.0,160.0
2026-09-17,180.0,160.0
2026-09-18,177.5,170.0
2026-09-21,185.0,170.0
2026-09-22,185.0,170.0
2026-09-23,185.0,170.0
2026-09-24,195.0,170.0
