Date,CallWall,PutWall
2026-06-26,185.0,165.0
2026-06-29,185.0,165.0
2026-06-30,185.0,165.0
2026-07-01,180.0,165.0
2026-07-02,185.0,165.0
2026-07-06,185.0,165.0
2026-07-07,185.0,165.0
2026-07-08,185.0,160.0
2026-07-09,185.0,175.0
2026-07-10,185.0,175.0
2026-07-13,185.0,175.0
2026-07-14,185.0,175.0
2026-07-15,185.0,175.0
2026-07-16,185.0,175.0
2026-07-17,200.0,175.0
2026-07-20,200.0,175.0
2026-07-21,200.0,175.0
2026-07-22,200.0,175.0
2026-07-23,200.0,175.0
2026-07-24,200.0,175.0
2026-07-27,200.0,175.0
2026-07-28,200.0,175.0
2026-07-29,200.0,175.0
2026-07-30,200.0,175.0
2026-07-31,200.0,175.0
2026-08-03,195.0,175.0
2026-08-04,195.0,187.5
2026-08-05,195.0,187.5
2026-08-06,195.0,187.5
2026-08-07,190.0,187.5
2026-08-10,195.0,175.0
2026-08-11,195.0,175.0
2026-08-12,195.0,175.0
2026-08-13,195.0,175.0
2026-08-14,190.0,175.0
2026-08-17,195.0,175.0
2026-08-18,195.0,175.0
2026-08-19,195.0,175.0
2026-08-20,195.0,175.0
2026-08-21,187.5,185.0
2026-08-24,200.0,175.0
2026-08-25,200.0,175.0
2026-08-26,200.0,192.5
2026-08-27,195.0,192.5
2026-08-28,195.0,192.5
2026-08-31,200.0,175.0
2026-09-01,200.0,175.0
2026-09-02,190.0,175.0
2026-09-03,190.0,175.0
2026-09-04,190.0,175.0
2026-09-07,190.0,175.0
2026-09-08,190.0,175.0
2026-09-09,190.0,175.0
2026-09-10,190.0,175.0
2026-09-11,192.5,175.0
2026-09-14,195.0,175.0
2026-09-15,195.0,175.0
2026-09-16,195.0,192.5
2026-09-17,195.0,175.0
2026-09-18,190.0,175.0
2026-09-21,200.0,180.0
2026-09-22,200.0,180.0
2026-09-23,200.0,180.0
2026-09-24,200.0,180.0
