Date,CallWall,PutWall
2026-06-26,245.0,230.0
2026-06-29,250.0,230.0
2026-06-30,250.0,230.0
2026-07-01,250.0,230.0
2026-07-02,250.0,230.0
2026-07-06,240.0,255.0
2026-07-07,240.0,255.0
2026-07-08,240.0,255.0
2026-07-09,250.0,255.0
2026-07-10,250.0,255.0
2026-07-13,250.0,255.0
2026-07-14,250.0,255.0
2026-07-15,252.5,255.0
2026-07-16,252.5,255.0
2026-07-17,252.5,250.0
2026-07-20,250.0,240.0
2026-07-21,250.0,240.0
2026-07-22,250.0,240.0
2026-07-23,250.0,240.0
2026-07-24,250.0,240.0
2026-07-27,250.0,240.0
2026-07-28,270.0,240.0
2026-07-29,250.0,240.0
2026-07-30,250.0,240.0
2026-07-31,250.0,247.5
2026-08-03,250.0,240.0
2026-08-04,270.0,240.0
2026-08-05,270.0,240.0
2026-08-06,270.0,240.0
2026-08-07,270.0,240.0
2026-08-10,250.0,240.0
2026-08-11,270.0,240.0
2026-08-12,270.0,240.0
2026-08-13,270.0,240.0
2026-08-14,270.0,240.0
2026-08-17,270.0,240.0
2026-08-18,260.0,240.0
2026-08-19,250.0,240.0
2026-08-20,260.0,240.0
2026-08-21,260.0,240.0
2026-08-24,260.0,250.0
2026-08-25,260.0,235.0
2026-08-26,260.0,250.0
2026-08-27,260.0,250.0
2026-08-28,245.0,235.0
2026-08-31,260.0,235.0
2026-09-01,250.0,235.0
2026-09-02,260.0,235.0
2026-09-03,260.0,235.0
2026-09-04,260.0,235.0
2026-09-07,260.0,250.0
2026-09-08,260.0,235.0
2026-09-09,260.0,235.0
2026-09-10,260.0,235.0
2026-09-11,260.0,240.0
2026-09-14,260.0,240.0
2026-09-15,260.0,240.0
2026-09-16,260.0,235.0
2026-09-17,260.0,235.0
2026-09-18,260.0,230.0
2026-09-21,260.0,230.0
2026-09-22,260.0,230.0
2026-09-23,260.0,230.0
2026-09-24,260.0,230.0
