Date,CallWall,PutWall
2026-06-26,125.0,116.0
2026-06-29,125.0,116.0
2026-06-30,125.0,121.0
2026-07-01,125.0,116.0
2026-07-02,125.0,116.0
2026-07-06,125.0,115.0
2026-07-07,125.0,116.0
2026-07-08,125.0,116.0
2026-07-09,125.0,116.0
2026-07-10,125.0,116.0
2026-07-13,125.0,116.0
2026-07-14,125.0,114.0
2026-07-15,125.0,114.0
2026-07-16,125.0,114.0
2026-07-17,125.0,114.0
2026-07-20,115.0,114.0
2026-07-21,120.0,114.0
2026-07-22,120.0,114.0
2026-07-23,120.0,114.0
2026-07-24,120.0,114.0
2026-07-27,120.0,116.0
2026-07-28,125.0,116.0
2026-07-29,125.0,118.0
2026-07-30,125.0,118.0
2026-07-31,125.0,110.0
2026-08-03,125.0,100.0
2026-08-04,125.0,100.0
2026-08-05,125.0,100.0
2026-08-06,125.0,110.0
2026-08-07,120.0,119.0
2026-08-10,125.0,110.0
2026-08-11,125.0,110.0
2026-08-12,125.0,110.0
2026-08-13,115.0,114.0
2026-08-14,115.0,110.0
2026-08-17,115.0,110.0
2026-08-18,115.0,110.0
2026-08-19,115.0,110.0
2026-08-20,115.0,110.0
2026-08-21,115.0,110.0
2026-08-24,115.0,105.0
2026-08-25,115.0,105.0
2026-08-26,115.0,105.0
2026-08-27,115.0,105.0
2026-08-28,115.0,105.0
2026-08-31,115.0,105.0
2026-09-01,115.0,105.0
2026-09-02,115.0,105.0
2026-09-03,115.0,105.0
2026-09-04,115.0,105.0
2026-09-07,115.0,110.0
2026-09-08,115.0,105.0
2026-09-09,115.0,105.0
2026-09-10,115.0,105.0
2026-09-11,115.0,105.0
2026-09-14,115.0,105.0
2026-09-15,115.0,105.0
2026-09-16,115.0,105.0
2026-09-17,115.0,105.0
2026-09-18,115.0,105.0
2026-09-21,118.0,100.0
2026-09-22,118.0,100.0
2026-09-23,118.0,100.0
2026-09-24,118.0,105.0
