Date,CallWall,PutWall
2026-06-26,12.0,9.5
2026-06-29,12.0,10.0
2026-06-30,12.0,10.0
2026-07-01,12.0,10.0
2026-07-02,11.0,10.0
2026-07-06,11.0,10.0
2026-07-07,11.0,10.0
2026-07-08,11.0,9.5
2026-07-09,11.0,9.0
2026-07-10,11.0,9.0
2026-07-13,10.5,9.0
2026-07-14,11.0,9.0
2026-07-15,10.0,9.0
2026-07-16,10.0,9.0
2026-07-17,11.0,9.0
2026-07-20,10.5,8.5
2026-07-21,9.5,8.5
2026-07-22,9.0,8.5
2026-07-23,9.0,8.5
2026-07-24,9.0,7.5
2026-07-27,9.0,7.5
2026-07-28,9.0,8.0
2026-07-29,9.0,8.0
2026-07-30,9.0,8.0
2026-07-31,9.0,8.0
2026-08-03,9.0,7.5
2026-08-04,9.0,7.5
2026-08-05,8.5,7.5
2026-08-06,9.0,8.0
2026-08-07,9.5,8.0
2026-08-10,9.0,8.0
2026-08-11,9.5,8.0
2026-08-12,9.5,8.0
2026-08-13,10.0,9.0
2026-08-14,12.0,8.0
2026-08-17,12.0,9.0
2026-08-18,12.0,9.0
2026-08-19,12.0,10.0
2026-08-20,12.0,10.0
2026-08-21,12.0,10.0
2026-08-24,12.0,10.0
2026-08-25,12.0,10.0
2026-08-26,12.0,10.0
2026-08-27,12.0,10.0
2026-08-28,12.0,10.5
2026-08-31,12.0,10.0
2026-09-01,12.0,10.5
2026-09-02,12.0,10.5
2026-09-03,12.0,11.0
2026-09-04,12.0,11.0
2026-09-08,12.0,10.0
2026-09-09,12.0,10.0
2026-09-10,12.0,10.0
2026-09-11,12.0,9.0
2026-09-14,12.0,9.0
2026-09-15,12.0,10.0
2026-09-16,12.0,9.0
2026-09-17,11.0,10.0
2026-09-18,12.0,10.0
2026-09-21,12.0,9.0
2026-09-22,12.0,9.0
2026-09-23,12.0,10.0
2026-09-24,10.5,10.0
