Date,CallWall,PutWall
2026-06-26,185.0,170.0
2026-06-29,185.0,170.0
2026-06-30,185.0,170.0
2026-07-01,185.0,170.0
2026-07-02,185.0,170.0
2026-07-06,185.0,170.0
2026-07-07,185.0,170.0
2026-07-08,185.0,170.0
2026-07-09,185.0,170.0
2026-07-10,190.0,155.0
2026-07-13,190.0,155.0
2026-07-14,200.0,155.0
2026-07-15,190.0,155.0
2026-07-16,200.0,155.0
2026-07-17,210.0,155.0
2026-07-20,210.0,155.0
2026-07-21,210.0,155.0
2026-07-22,210.0,155.0
2026-07-23,212.5,155.0
2026-07-24,207.5,155.0
2026-07-27,220.0,155.0
2026-07-28,220.0,155.0
2026-07-29,220.0,155.0
2026-07-30,220.0,155.0
2026-07-31,220.0,155.0
2026-08-03,220.0,155.0
2026-08-04,220.0,155.0
2026-08-05,210.0,202.5
2026-08-06,210.0,155.0
2026-08-07,210.0,155.0
2026-08-10,220.0,155.0
2026-08-11,220.0,155.0
2026-08-12,220.0,155.0
2026-08-13,230.0,155.0
2026-08-14,230.0,155.0
2026-08-17,240.0,200.0
2026-08-18,240.0,185.0
2026-08-19,240.0,227.5
2026-08-20,240.0,232.5
2026-08-21,247.5,232.5
2026-08-24,247.5,232.5
2026-08-25,247.5,232.5
2026-08-26,247.5,232.5
2026-08-27,247.5,232.5
2026-08-28,247.5,232.5
2026-08-31,240.0,232.5
2026-09-01,260.0,225.0
2026-09-02,260.0,235.0
2026-09-03,260.0,247.5
2026-09-04,260.0,252.5
2026-09-07,260.0,252.5
2026-09-08,260.0,252.5
2026-09-09,260.0,252.5
2026-09-10,260.0,252.5
2026-09-11,260.0,252.5
2026-09-14,260.0,245.0
2026-09-15,270.0,220.0
2026-09-16,270.0,200.0
2026-09-17,270.0,200.0
2026-09-18,270.0,220.0
2026-09-21,280.0,220.0
2026-09-22,280.0,250.0
2026-09-23,280.0,250.0
2026-09-24,280.0,250.0
