Date,CallWall,PutWall
2026-06-26,44.0,40.0
2026-06-29,44.0,40.0
2026-06-30,44.0,40.0
2026-07-01,44.0,40.0
2026-07-02,45.5,40.0
2026-07-06,45.0,40.0
2026-07-07,45.0,44.0
2026-07-08,46.0,44.0
2026-07-09,46.0,44.0
2026-07-10,46.0,40.0
2026-07-13,50.0,40.0
2026-07-14,50.0,40.0
2026-07-15,50.0,40.0
2026-07-16,60.0,52.0
2026-07-17,60.0,52.0
2026-07-20,60.0,52.0
2026-07-21,60.0,52.0
2026-07-22,60.0,52.0
2026-07-23,60.0,52.0
2026-07-24,60.0,52.0
2026-07-27,60.0,52.0
2026-07-28,60.0,52.0
2026-07-29,60.0,50.0
2026-07-30,60.0,52.0
2026-07-31,60.0,52.0
2026-08-03,60.0,50.0
2026-08-04,60.0,56.0
2026-08-05,60.0,56.0
2026-08-06,60.0,56.0
2026-08-07,60.0,56.0
2026-08-10,60.0,57.0
2026-08-11,60.0,58.0
2026-08-12,60.0,57.0
2026-08-13,60.0,58.0
2026-08-14,60.0,58.0
2026-08-17,60.0,58.0
2026-08-18,60.0,58.0
2026-08-19,62.5,59.0
2026-08-20,62.5,55.0
2026-08-21,62.5,58.0
2026-08-24,65.0,58.0
2026-08-25,65.0,58.0
2026-08-26,65.0,58.0
2026-08-27,65.0,58.0
2026-08-28,65.0,50.0
2026-08-31,55.0,50.0
2026-09-01,55.0,50.0
2026-09-02,55.0,50.0
2026-09-03,56.0,50.0
2026-09-04,55.0,54.0
2026-09-07,60.0,50.0
2026-09-08,60.0,50.0
2026-09-09,60.0,51.0
2026-09-10,60.0,53.0
2026-09-11,54.0,51.0
2026-09-14,55.0,51.0
2026-09-15,55.0,51.0
2026-09-16,55.0,51.0
2026-09-17,55.0,52.5
2026-09-18,54.0,52.5
2026-09-21,54.0,50.0
2026-09-22,54.0,50.0
2026-09-23,54.0,50.0
2026-09-24,55.0,50.0
