Date,CallWall,PutWall
2026-06-26,230.0,195.0
2026-06-29,220.0,195.0
2026-06-30,220.0,195.0
2026-07-01,200.0,175.0
2026-07-02,220.0,175.0
2026-07-06,220.0,190.0
2026-07-07,220.0,190.0
2026-07-08,192.5,190.0
2026-07-09,200.0,190.0
2026-07-10,192.5,190.0
2026-07-13,192.5,175.0
2026-07-14,200.0,175.0
2026-07-15,190.0,175.0
2026-07-16,190.0,175.0
2026-07-17,190.0,170.0
2026-07-20,190.0,160.0
2026-07-21,230.0,160.0
2026-07-22,185.0,160.0
2026-07-23,220.0,160.0
2026-07-24,220.0,167.5
2026-07-27,220.0,160.0
2026-07-28,220.0,160.0
2026-07-29,177.5,165.0
2026-07-30,200.0,150.0
2026-07-31,148.0,150.0
2026-08-03,155.0,150.0
2026-08-04,155.0,150.0
2026-08-05,155.0,150.0
2026-08-06,155.0,150.0
2026-08-07,170.0,190.0
2026-08-10,155.0,150.0
2026-08-11,170.0,200.0
2026-08-12,170.0,190.0
2026-08-13,170.0,162.5
2026-08-14,165.0,155.0
2026-08-17,157.5,155.0
2026-08-18,157.5,155.0
2026-08-19,167.5,155.0
2026-08-20,157.5,155.0
2026-08-21,170.0,155.0
2026-08-24,170.0,155.0
2026-08-25,170.0,155.0
2026-08-26,170.0,155.0
2026-08-27,170.0,155.0
2026-08-28,170.0,155.0
2026-08-31,170.0,155.0
2026-09-01,170.0,155.0
2026-09-02,170.0,160.0
2026-09-03,170.0,160.0
2026-09-04,170.0,160.0
2026-09-08,170.0,155.0
2026-09-09,170.0,162.5
2026-09-10,180.0,162.5
2026-09-11,185.0,160.0
2026-09-14,200.0,160.0
2026-09-15,200.0,150.0
2026-09-16,200.0,177.5
2026-09-17,200.0,150.0
2026-09-18,200.0,177.5
2026-09-21,200.0,175.0
2026-09-22,200.0,175.0
2026-09-23,200.0,175.0
2026-09-24,200.0,175.0
