Date,CallWall,PutWall
2026-06-26,748.0,705.0
2026-06-29,725.0,715.0
2026-06-30,740.0,700.0
2026-07-01,725.0,726.0
2026-07-02,730.0,710.0
2026-07-06,725.0,700.0
2026-07-07,730.0,710.0
2026-07-08,711.0,700.0
2026-07-09,725.0,700.0
2026-07-10,725.0,700.0
2026-07-13,730.0,710.0
2026-07-14,720.0,700.0
2026-07-15,730.0,700.0
2026-07-16,730.0,700.0
2026-07-17,730.0,695.0
2026-07-20,730.0,690.0
2026-07-21,710.0,690.0
2026-07-22,730.0,700.0
2026-07-23,730.0,690.0
2026-07-24,730.0,685.0
2026-07-27,730.0,680.0
2026-07-28,730.0,680.0
2026-07-29,685.0,660.0
2026-07-30,685.0,660.0
2026-07-31,690.0,692.0
2026-08-03,700.0,680.0
2026-08-04,720.0,680.0
2026-08-05,730.0,680.0
2026-08-06,730.0,718.0
2026-08-07,720.0,705.0
2026-08-10,730.0,715.0
2026-08-11,730.0,715.0
2026-08-12,725.0,715.0
2026-08-13,735.0,700.0
2026-08-14,730.0,728.0
2026-08-17,730.0,720.0
2026-08-18,735.0,718.0
2026-08-19,730.0,717.0
2026-08-20,735.0,700.0
2026-08-21,735.0,710.0
2026-08-24,730.0,710.0
2026-08-25,710.0,700.0
2026-08-26,715.0,700.0
2026-08-27,720.0,700.0
2026-08-28,720.0,700.0
2026-08-31,720.0,715.0
2026-09-01,730.0,700.0
2026-09-02,708.0,700.0
2026-09-03,720.0,700.0
2026-09-04,720.0,700.0
2026-09-08,720.0,700.0
2026-09-09,730.0,700.0
2026-09-10,730.0,700.0
2026-09-11,715.0,700.0
2026-09-14,720.0,700.0
2026-09-15,720.0,705.0
2026-09-16,720.0,700.0
2026-09-17,720.0,700.0
2026-09-18,720.0,690.0
2026-09-21,740.0,705.0
2026-09-22,748.0,700.0
2026-09-23,760.0,730.0
2026-09-24,745.0,736.0
