Date,CallWall,PutWall
2026-06-26,52.0,48.0
2026-06-29,55.0,48.0
2026-06-30,55.0,53.0
2026-07-01,65.0,53.0
2026-07-02,55.0,53.0
2026-07-06,65.0,53.0
2026-07-07,59.0,53.0
2026-07-08,59.0,53.0
2026-07-09,59.0,53.0
2026-07-10,56.0,55.0
2026-07-13,59.0,54.0
2026-07-14,60.0,54.0
2026-07-15,60.0,40.0
2026-07-16,55.0,40.0
2026-07-17,50.0,52.0
2026-07-20,60.0,40.0
2026-07-21,54.0,40.0
2026-07-22,60.0,40.0
2026-07-23,60.0,47.0
2026-07-24,60.0,48.0
2026-07-27,60.0,40.0
2026-07-28,60.0,40.0
2026-07-29,60.0,40.0
2026-07-30,60.0,40.0
2026-07-31,43.0,40.0
2026-08-03,47.5,35.0
2026-08-04,38.0,35.0
2026-08-05,38.0,35.0
2026-08-06,38.0,35.0
2026-08-07,38.0,35.0
2026-08-10,39.0,35.0
2026-08-11,39.0,35.0
2026-08-12,38.0,35.0
2026-08-13,38.0,35.0
2026-08-14,38.0,35.0
2026-08-17,40.0,35.0
2026-08-18,40.0,35.0
2026-08-19,40.0,35.0
2026-08-20,40.0,35.0
2026-08-21,39.0,38.5
2026-08-24,40.0,35.0
2026-08-25,40.0,35.0
2026-08-26,40.0,35.0
2026-08-27,40.0,35.0
2026-08-28,39.0,35.0
2026-08-31,40.0,35.0
2026-09-01,40.0,35.0
2026-09-02,41.0,35.0
2026-09-03,41.0,35.0
2026-09-04,43.0,47.5
2026-09-08,45.0,47.5
2026-09-09,45.0,47.5
2026-09-10,45.0,35.0
2026-09-11,46.0,35.0
2026-09-14,50.0,45.0
2026-09-15,50.0,45.0
2026-09-16,50.0,47.5
2026-09-17,50.0,46.5
2026-09-18,47.5,46.5
2026-09-21,50.0,40.0
2026-09-22,50.0,51.0
2026-09-23,50.0,46.5
2026-09-24,50.0,45.0
