Date,CallWall,PutWall
2026-06-26,330.0,322.5
2026-06-29,330.0,307.5
2026-06-30,330.0,307.5
2026-07-01,330.0,307.5
2026-07-02,330.0,260.0
2026-07-06,330.0,260.0
2026-07-07,330.0,280.0
2026-07-08,330.0,280.0
2026-07-09,310.0,280.0
2026-07-10,330.0,280.0
2026-07-13,330.0,260.0
2026-07-14,290.0,270.0
2026-07-15,300.0,260.0
2026-07-16,300.0,260.0
2026-07-17,290.0,285.0
2026-07-20,292.5,250.0
2026-07-21,292.5,285.0
2026-07-22,292.5,285.0
2026-07-23,292.5,285.0
2026-07-24,292.5,285.0
2026-07-27,330.0,250.0
2026-07-28,330.0,280.0
2026-07-29,330.0,280.0
2026-07-30,330.0,280.0
2026-07-31,320.0,280.0
2026-08-03,340.0,310.0
2026-08-04,340.0,310.0
2026-08-05,340.0,310.0
2026-08-06,340.0,310.0
2026-08-07,340.0,310.0
2026-08-10,335.0,310.0
2026-08-11,315.0,290.0
2026-08-12,335.0,290.0
2026-08-13,315.0,290.0
2026-08-14,330.0,260.0
2026-08-17,330.0,260.0
2026-08-18,330.0,260.0
2026-08-19,330.0,260.0
2026-08-20,310.0,260.0
2026-08-21,310.0,260.0
2026-08-24,310.0,260.0
2026-08-25,310.0,260.0
2026-08-26,310.0,260.0
2026-08-27,310.0,260.0
2026-08-28,310.0,260.0
2026-08-31,310.0,260.0
2026-09-01,310.0,260.0
2026-09-02,330.0,260.0
2026-09-03,330.0,260.0
2026-09-04,330.0,260.0
2026-09-07,330.0,260.0
2026-09-08,330.0,260.0
2026-09-09,330.0,260.0
2026-09-10,330.0,260.0
2026-09-11,265.0,260.0
2026-09-14,265.0,260.0
2026-09-15,265.0,260.0
2026-09-16,265.0,260.0
2026-09-17,270.0,250.0
2026-09-18,265.0,240.0
2026-09-21,265.0,240.0
2026-09-22,265.0,240.0
2026-09-23,265.0,220.0
2026-09-24,265.0,240.0
