Date,CallWall,PutWall
2026-06-26,630.0,600.0
2026-06-29,630.0,600.0
2026-06-30,630.0,600.0
2026-07-01,630.0,600.0
2026-07-02,650.0,600.0
2026-07-06,665.0,600.0
2026-07-07,665.0,680.0
2026-07-08,665.0,680.0
2026-07-09,665.0,680.0
2026-07-10,670.0,600.0
2026-07-13,670.0,665.0
2026-07-14,670.0,600.0
2026-07-15,670.0,665.0
2026-07-16,670.0,680.0
2026-07-17,670.0,665.0
2026-07-20,670.0,600.0
2026-07-21,670.0,600.0
2026-07-22,690.0,672.5
2026-07-23,690.0,620.0
2026-07-24,700.0,662.5
2026-07-27,690.0,620.0
2026-07-28,690.0,620.0
2026-07-29,690.0,620.0
2026-07-30,705.0,640.0
2026-07-31,770.0,640.0
2026-08-03,800.0,660.0
2026-08-04,800.0,660.0
2026-08-05,800.0,660.0
2026-08-06,800.0,745.0
2026-08-07,800.0,670.0
2026-08-10,800.0,785.0
2026-08-11,800.0,785.0
2026-08-12,800.0,795.0
2026-08-13,800.0,795.0
2026-08-14,800.0,795.0
2026-08-17,800.0,795.0
2026-08-18,800.0,795.0
2026-08-19,850.0,795.0
2026-08-20,850.0,795.0
2026-08-21,850.0,795.0
2026-08-24,850.0,825.0
2026-08-25,850.0,825.0
2026-08-26,850.0,825.0
2026-08-27,850.0,825.0
2026-08-28,800.0,795.0
2026-08-31,800.0,760.0
2026-09-01,850.0,760.0
2026-09-02,850.0,760.0
2026-09-03,850.0,760.0
2026-09-04,825.0,822.5
2026-09-07,850.0,795.0
2026-09-08,800.0,795.0
2026-09-09,800.0,795.0
2026-09-10,800.0,795.0
2026-09-11,800.0,785.0
2026-09-14,800.0,810.0
2026-09-15,800.0,810.0
2026-09-16,800.0,760.0
2026-09-17,800.0,770.0
2026-09-18,800.0,770.0
2026-09-21,850.0,770.0
2026-09-22,805.0,770.0
2026-09-23,805.0,770.0
2026-09-24,805.0,790.0
