Date,CallWall,PutWall
2026-06-26,240.0,210.0
2026-06-29,230.0,210.0
2026-06-30,240.0,210.0
2026-07-01,217.5,210.0
2026-07-02,217.5,210.0
2026-07-06,230.0,210.0
2026-07-07,230.0,210.0
2026-07-08,240.0,210.0
2026-07-09,240.0,210.0
2026-07-10,240.0,210.0
2026-07-13,240.0,210.0
2026-07-14,240.0,210.0
2026-07-15,240.0,210.0
2026-07-16,240.0,230.0
2026-07-17,240.0,230.0
2026-07-20,240.0,195.0
2026-07-21,240.0,195.0
2026-07-22,240.0,195.0
2026-07-23,260.0,195.0
2026-07-24,260.0,195.0
2026-07-27,260.0,195.0
2026-07-28,250.0,195.0
2026-07-29,250.0,195.0
2026-07-30,250.0,195.0
2026-07-31,255.0,195.0
2026-08-03,260.0,195.0
2026-08-04,260.0,195.0
2026-08-05,260.0,252.5
2026-08-06,260.0,252.5
2026-08-07,260.0,252.5
2026-08-10,260.0,252.5
2026-08-11,260.0,252.5
2026-08-12,260.0,252.5
2026-08-13,260.0,245.0
2026-08-14,260.0,220.0
2026-08-17,260.0,220.0
2026-08-18,260.0,220.0
2026-08-19,260.0,220.0
2026-08-20,250.0,220.0
2026-08-21,240.0,220.0
2026-08-24,260.0,220.0
2026-08-25,242.5,220.0
2026-08-26,242.5,220.0
2026-08-27,260.0,220.0
2026-08-28,242.5,220.0
2026-08-31,235.0,220.0
2026-09-01,235.0,220.0
2026-09-02,235.0,220.0
2026-09-03,235.0,220.0
2026-09-04,235.0,220.0
2026-09-07,235.0,220.0
2026-09-08,235.0,220.0
2026-09-09,235.0,220.0
2026-09-10,235.0,220.0
2026-09-11,230.0,220.0
2026-09-14,260.0,220.0
2026-09-15,260.0,220.0
2026-09-16,260.0,220.0
2026-09-17,260.0,220.0
2026-09-18,232.5,220.0
2026-09-21,250.0,220.0
2026-09-22,250.0,220.0
2026-09-23,237.5,220.0
2026-09-24,237.5,220.0
