Date,CallWall,PutWall
2026-06-26,46.0,39.0
2026-06-29,46.0,33.0
2026-06-30,46.0,39.0
2026-07-01,46.0,39.0
2026-07-02,46.0,39.0
2026-07-06,46.0,39.0
2026-07-07,46.0,36.0
2026-07-08,46.0,39.0
2026-07-09,46.0,36.0
2026-07-10,40.0,33.0
2026-07-13,40.0,33.0
2026-07-14,40.0,33.0
2026-07-15,40.0,33.0
2026-07-16,40.0,33.0
2026-07-17,40.0,36.0
2026-07-20,40.0,32.0
2026-07-21,41.0,34.0
2026-07-22,41.0,36.0
2026-07-23,41.0,36.0
2026-07-24,41.0,36.0
2026-07-27,41.0,36.0
2026-07-28,41.0,36.0
2026-07-29,41.0,36.0
2026-07-30,41.0,36.0
2026-07-31,41.0,36.0
2026-08-03,41.0,36.0
2026-08-04,41.0,36.0
2026-08-05,41.0,36.0
2026-08-06,41.0,36.0
2026-08-07,41.0,36.0
2026-08-10,41.0,36.0
2026-08-11,41.0,36.0
2026-08-12,41.0,36.0
2026-08-13,41.0,36.0
2026-08-14,41.0,38.0
2026-08-17,41.0,38.0
2026-08-18,41.0,38.0
2026-08-19,41.0,38.0
2026-08-20,41.0,38.0
2026-08-21,41.0,38.0
2026-08-24,45.0,38.0
2026-08-25,45.0,38.0
2026-08-26,45.0,38.0
2026-08-27,45.0,38.0
2026-08-28,45.0,38.0
2026-08-31,45.0,38.0
2026-09-01,45.0,38.0
2026-09-02,45.0,38.0
2026-09-03,45.0,38.0
2026-09-04,45.0,38.0
2026-09-07,45.0,38.0
2026-09-08,45.0,38.0
2026-09-09,45.0,38.0
2026-09-10,45.0,38.0
2026-09-11,45.0,38.0
2026-09-14,45.0,38.0
2026-09-15,45.0,38.0
2026-09-16,45.0,38.0
2026-09-17,45.0,38.0
2026-09-18,45.0,38.0
2026-09-21,42.0,39.0
2026-09-22,39.0,36.0
2026-09-23,39.0,36.0
2026-09-24,39.0,36.0
