Date,CallWall,PutWall
2026-06-26,190.0,180.0
2026-06-29,200.0,180.0
2026-06-30,200.0,180.0
2026-07-01,200.0,180.0
2026-07-02,200.0,180.0
2026-07-06,200.0,180.0
2026-07-07,200.0,180.0
2026-07-08,200.0,180.0
2026-07-09,200.0,180.0
2026-07-10,200.0,175.0
2026-07-13,200.0,175.0
2026-07-14,200.0,175.0
2026-07-15,200.0,175.0
2026-07-16,200.0,175.0
2026-07-17,195.0,175.0
2026-07-20,200.0,175.0
2026-07-21,200.0,175.0
2026-07-22,200.0,175.0
2026-07-23,210.0,175.0
2026-07-24,210.0,195.0
2026-07-27,220.0,195.0
2026-07-28,220.0,195.0
2026-07-29,220.0,195.0
2026-07-30,220.0,195.0
2026-07-31,220.0,195.0
2026-08-03,220.0,195.0
2026-08-04,220.0,195.0
2026-08-05,220.0,195.0
2026-08-06,220.0,195.0
2026-08-07,222.5,195.0
2026-08-10,220.0,195.0
2026-08-11,230.0,195.0
2026-08-12,230.0,210.0
2026-08-13,220.0,210.0
2026-08-14,230.0,195.0
2026-08-17,230.0,195.0
2026-08-18,230.0,195.0
2026-08-19,230.0,195.0
2026-08-20,220.0,210.0
2026-08-21,230.0,210.0
2026-08-24,220.0,195.0
2026-08-25,220.0,195.0
2026-08-26,220.0,195.0
2026-08-27,230.0,195.0
2026-08-28,220.0,195.0
2026-08-31,220.0,210.0
2026-09-01,220.0,205.0
2026-09-02,190.0,195.0
2026-09-03,190.0,195.0
2026-09-04,190.0,200.0
2026-09-07,190.0,195.0
2026-09-08,190.0,195.0
2026-09-09,190.0,195.0
2026-09-10,190.0,197.5
2026-09-11,190.0,197.5
2026-09-14,190.0,195.0
2026-09-15,190.0,195.0
2026-09-16,190.0,195.0
2026-09-17,190.0,195.0
2026-09-18,195.0,190.0
2026-09-21,205.0,190.0
2026-09-22,215.0,190.0
2026-09-23,215.0,190.0
2026-09-24,202.5,190.0
