Date,CallWall,PutWall
2026-06-26,185.0,175.0
2026-06-29,185.0,175.0
2026-06-30,185.0,175.0
2026-07-01,185.0,175.0
2026-07-02,185.0,175.0
2026-07-06,185.0,175.0
2026-07-07,185.0,175.0
2026-07-08,185.0,175.0
2026-07-09,185.0,175.0
2026-07-10,185.0,175.0
2026-07-13,185.0,175.0
2026-07-14,185.0,175.0
2026-07-15,185.0,175.0
2026-07-16,185.0,175.0
2026-07-17,185.0,175.0
2026-07-20,200.0,175.0
2026-07-21,180.0,175.0
2026-07-22,200.0,175.0
2026-07-23,180.0,175.0
2026-07-24,180.0,175.0
2026-07-27,180.0,175.0
2026-07-28,180.0,175.0
2026-07-29,180.0,175.0
2026-07-30,200.0,175.0
2026-07-31,180.0,175.0
2026-08-03,210.0,175.0
2026-08-04,210.0,175.0
2026-08-05,210.0,175.0
2026-08-06,210.0,175.0
2026-08-07,210.0,175.0
2026-08-10,210.0,175.0
2026-08-11,210.0,175.0
2026-08-12,210.0,175.0
2026-08-13,210.0,175.0
2026-08-14,210.0,175.0
2026-08-17,210.0,175.0
2026-08-18,210.0,175.0
2026-08-19,210.0,175.0
2026-08-20,210.0,175.0
2026-08-21,210.0,175.0
2026-08-24,195.0,175.0
2026-08-25,195.0,175.0
2026-08-26,195.0,175.0
2026-08-27,195.0,175.0
2026-08-28,195.0,175.0
2026-08-31,195.0,175.0
2026-09-01,195.0,175.0
2026-09-02,195.0,175.0
2026-09-03,195.0,175.0
2026-09-04,195.0,175.0
2026-09-07,195.0,175.0
2026-09-08,195.0,175.0
2026-09-09,195.0,175.0
2026-09-10,195.0,175.0
2026-09-11,195.0,175.0
2026-09-14,195.0,175.0
2026-09-15,195.0,175.0
2026-09-16,195.0,175.0
2026-09-17,195.0,175.0
2026-09-18,195.0,175.0
2026-09-21,185.0,175.0
2026-09-22,185.0,175.0
2026-09-23,185.0,175.0
2026-09-24,185.0,175.0
