Date,CallWall,PutWall
2026-06-26,95.0,90.0
2026-06-29,95.0,85.0
2026-06-30,95.0,85.0
2026-07-01,95.0,85.0
2026-07-02,95.0,85.0
2026-07-06,100.0,85.0
2026-07-07,100.0,85.0
2026-07-08,100.0,85.0
2026-07-09,100.0,80.0
2026-07-10,105.0,80.0
2026-07-13,100.0,85.0
2026-07-14,100.0,85.0
2026-07-15,105.0,80.0
2026-07-16,105.0,100.0
2026-07-17,105.0,100.0
2026-07-20,110.0,92.5
2026-07-21,105.0,98.0
2026-07-22,105.0,98.0
2026-07-23,105.0,99.0
2026-07-24,105.0,101.0
2026-07-27,105.0,99.0
2026-07-28,105.0,99.0
2026-07-29,105.0,99.0
2026-07-30,105.0,103.0
2026-07-31,105.0,99.0
2026-08-03,105.0,104.0
2026-08-04,105.0,104.0
2026-08-05,110.0,104.0
2026-08-06,110.0,103.0
2026-08-07,110.0,103.0
2026-08-10,110.0,104.0
2026-08-11,110.0,104.0
2026-08-12,110.0,104.0
2026-08-13,110.0,105.0
2026-08-14,110.0,109.0
2026-08-17,110.0,103.0
2026-08-18,110.0,109.0
2026-08-19,110.0,103.0
2026-08-20,110.0,103.0
2026-08-21,110.0,109.0
2026-08-24,115.0,104.0
2026-08-25,115.0,109.0
2026-08-26,105.0,104.0
2026-08-27,105.0,108.0
2026-08-28,110.0,108.0
2026-08-31,105.0,108.0
2026-09-01,105.0,108.0
2026-09-02,105.0,108.0
2026-09-03,105.0,108.0
2026-09-04,105.0,108.0
2026-09-07,105.0,108.0
2026-09-08,105.0,108.0
2026-09-09,105.0,108.0
2026-09-10,105.0,107.0
2026-09-11,105.0,107.0
2026-09-14,105.0,106.0
2026-09-15,108.0,106.0
2026-09-16,105.0,106.0
2026-09-17,105.0,106.0
2026-09-18,105.0,106.0
2026-09-21,110.0,100.0
2026-09-22,110.0,100.0
2026-09-23,110.0,100.0
2026-09-24,110.0,100.0
