Date,CallWall,PutWall
2026-08-06,31.0,28.0
2026-08-07,31.0,28.0
2026-08-10,30.5,28.0
2026-08-11,30.5,28.0
2026-08-12,30.5,28.0
2026-08-13,29.0,28.0
2026-08-14,29.0,28.0
2026-08-17,29.0,28.0
2026-08-18,29.0,28.0
2026-08-19,29.0,28.0
2026-08-20,29.0,28.0
2026-08-21,29.0,28.0
2026-08-24,29.0,25.0
2026-08-25,29.0,25.0
2026-08-26,29.0,25.0
2026-08-27,29.0,25.0
2026-08-28,29.0,25.0
2026-08-31,29.0,25.0
2026-09-01,29.0,25.0
2026-09-02,29.5,25.0
2026-09-03,29.5,28.0
2026-09-04,29.0,25.0
2026-09-08,30.0,25.0
2026-09-09,30.0,29.5
2026-09-10,29.0,25.0
2026-09-11,29.0,25.0
2026-09-14,30.0,27.0
2026-09-15,30.0,27.0
2026-09-16,29.0,25.0
2026-09-17,29.0,28.0
2026-09-18,29.0,25.0
2026-09-21,28.5,26.5
2026-09-22,28.5,26.5
2026-09-23,28.5,25.0
2026-09-24,27.0,25.0
