Date,CallWall,PutWall
2026-06-26,57.5,47.0
2026-06-29,60.0,45.0
2026-06-30,49.0,45.0
2026-07-01,49.0,45.0
2026-07-02,50.0,45.0
2026-07-06,50.0,45.0
2026-07-07,49.0,45.0
2026-07-08,49.0,45.0
2026-07-09,49.0,45.0
2026-07-10,49.0,45.0
2026-07-13,49.0,45.0
2026-07-14,49.0,45.0
2026-07-15,50.0,45.0
2026-07-16,50.0,45.0
2026-07-17,48.0,45.0
2026-07-20,48.0,45.0
2026-07-21,48.0,45.0
2026-07-22,48.0,45.0
2026-07-23,48.0,45.0
2026-07-24,52.5,45.0
2026-07-27,52.5,45.0
2026-07-28,52.5,45.0
2026-07-29,50.0,45.0
2026-07-30,52.5,45.0
2026-07-31,50.0,49.0
2026-08-03,52.5,45.0
2026-08-04,52.5,47.0
2026-08-05,52.5,49.0
2026-08-06,52.5,49.0
2026-08-07,52.5,49.0
2026-08-10,52.5,47.5
2026-08-11,52.5,47.5
2026-08-12,52.5,47.5
2026-08-13,52.5,47.5
2026-08-14,52.5,47.5
2026-08-17,52.5,47.5
2026-08-18,52.5,47.5
2026-08-19,52.5,40.0
2026-08-20,52.5,49.0
2026-08-21,52.5,45.0
2026-08-24,55.0,47.5
2026-08-25,55.0,47.5
2026-08-26,55.0,47.5
2026-08-27,55.0,45.0
2026-08-28,60.0,50.0
2026-08-31,60.0,50.0
2026-09-01,60.0,50.0
2026-09-02,60.0,50.0
2026-09-03,60.0,50.0
2026-09-04,60.0,50.0
2026-09-07,60.0,50.0
2026-09-08,60.0,50.0
2026-09-09,60.0,50.0
2026-09-10,60.0,50.0
2026-09-11,60.0,56.0
2026-09-14,57.5,50.0
2026-09-15,57.5,50.0
2026-09-16,55.0,50.0
2026-09-17,52.5,50.0
2026-09-18,55.0,50.0
2026-09-21,55.0,50.0
2026-09-22,55.0,50.0
2026-09-23,55.0,50.0
2026-09-24,55.0,50.0
