Date,CallWall,PutWall
2026-06-26,53.5,50.0
2026-06-29,65.5,50.0
2026-06-30,65.5,54.0
2026-07-01,54.0,50.0
2026-07-02,55.0,50.0
2026-07-06,60.0,55.0
2026-07-07,60.0,55.0
2026-07-08,60.0,53.0
2026-07-09,60.0,53.5
2026-07-10,60.0,53.5
2026-07-13,60.0,50.0
2026-07-14,60.0,50.0
2026-07-15,60.0,50.0
2026-07-16,60.0,50.0
2026-07-17,60.0,50.0
2026-07-20,60.0,49.0
2026-07-21,60.0,49.0
2026-07-22,54.0,50.0
2026-07-23,60.0,49.0
2026-07-24,60.0,52.0
2026-07-27,60.0,50.0
2026-07-28,60.0,50.0
2026-07-29,60.0,50.0
2026-07-30,60.0,50.0
2026-07-31,52.5,50.0
2026-08-03,60.0,50.0
2026-08-04,60.0,50.0
2026-08-05,60.0,50.0
2026-08-06,60.0,50.0
2026-08-07,57.0,50.0
2026-08-10,60.0,50.0
2026-08-11,60.0,50.0
2026-08-12,60.0,58.5
2026-08-13,60.0,53.0
2026-08-14,60.0,50.0
2026-08-17,60.0,50.0
2026-08-18,60.0,50.0
2026-08-19,60.0,50.0
2026-08-20,60.0,50.0
2026-08-21,63.0,60.5
2026-08-24,63.0,50.0
2026-08-25,63.0,50.0
2026-08-26,63.0,60.5
2026-08-27,63.0,58.0
2026-08-28,63.0,60.5
2026-08-31,63.0,58.0
2026-09-01,63.0,58.0
2026-09-02,63.0,58.0
2026-09-03,63.0,58.0
2026-09-04,63.0,59.5
2026-09-08,63.0,59.0
2026-09-09,63.0,59.0
2026-09-10,63.0,58.0
2026-09-11,60.0,58.0
2026-09-14,60.0,58.0
2026-09-15,60.0,58.0
2026-09-16,60.0,58.0
2026-09-17,60.0,58.0
2026-09-18,60.0,60.5
2026-09-21,64.0,59.0
2026-09-22,64.0,59.0
2026-09-23,64.0,58.0
2026-09-24,60.0,56.0
