Date,CallWall,PutWall
2026-06-26,640.0,600.0
2026-06-29,640.0,600.0
2026-06-30,640.0,600.0
2026-07-01,650.0,600.0
2026-07-02,640.0,600.0
2026-07-06,640.0,600.0
2026-07-07,640.0,550.0
2026-07-08,640.0,600.0
2026-07-09,640.0,600.0
2026-07-10,650.0,600.0
2026-07-13,650.0,550.0
2026-07-14,640.0,600.0
2026-07-15,650.0,600.0
2026-07-16,650.0,550.0
2026-07-17,650.0,550.0
2026-07-20,650.0,550.0
2026-07-21,600.0,550.0
2026-07-22,590.0,550.0
2026-07-23,600.0,550.0
2026-07-24,650.0,550.0
2026-07-27,650.0,520.0
2026-07-28,650.0,520.0
2026-07-29,650.0,520.0
2026-07-30,600.0,520.0
2026-07-31,600.0,530.0
2026-08-03,600.0,530.0
2026-08-04,600.0,530.0
2026-08-05,600.0,530.0
2026-08-06,600.0,540.0
2026-08-07,600.0,540.0
2026-08-10,600.0,540.0
2026-08-11,600.0,560.0
2026-08-12,600.0,560.0
2026-08-13,600.0,560.0
2026-08-14,600.0,580.0
2026-08-17,600.0,560.0
2026-08-18,600.0,560.0
2026-08-19,600.0,560.0
2026-08-20,600.0,560.0
2026-08-21,562.5,560.0
2026-08-24,600.0,545.0
2026-08-25,600.0,545.0
2026-08-26,600.0,545.0
2026-08-27,570.0,545.0
2026-08-28,600.0,550.0
2026-08-31,600.0,545.0
2026-09-01,600.0,545.0
2026-09-02,600.0,545.0
2026-09-03,600.0,545.0
2026-09-04,565.0,550.0
2026-09-08,600.0,550.0
2026-09-09,600.0,550.0
2026-09-10,600.0,550.0
2026-09-11,570.0,550.0
2026-09-14,615.0,530.0
2026-09-15,615.0,530.0
2026-09-16,565.0,530.0
2026-09-17,560.0,550.0
2026-09-18,565.0,530.0
2026-09-21,600.0,530.0
2026-09-22,610.0,570.0
2026-09-23,615.0,570.0
2026-09-24,615.0,570.0
