Date,CallWall,PutWall
2026-06-26,5.0,4.0
2026-06-29,5.0,4.0
2026-06-30,5.0,4.0
2026-07-01,5.0,4.5
2026-07-02,5.0,4.0
2026-07-06,5.0,4.0
2026-07-07,5.0,4.0
2026-07-08,5.0,4.0
2026-07-09,5.0,4.0
2026-07-10,5.0,4.5
2026-07-13,5.0,4.5
2026-07-14,5.0,4.5
2026-07-15,5.0,4.5
2026-07-16,5.0,4.5
2026-07-17,5.0,4.5
2026-07-20,5.0,4.5
2026-07-21,5.0,4.5
2026-07-22,5.0,4.5
2026-07-23,5.0,4.5
2026-07-24,5.0,4.0
2026-07-27,5.0,4.5
2026-07-28,5.0,4.0
2026-07-29,5.0,4.0
2026-07-30,5.0,4.0
2026-07-31,5.0,4.5
2026-08-03,5.0,4.0
2026-08-04,6.0,4.5
2026-08-05,5.0,4.5
2026-08-06,5.0,4.5
2026-08-07,5.5,4.5
2026-08-10,6.0,4.5
2026-08-11,6.0,4.5
2026-08-12,6.0,4.5
2026-08-13,5.5,4.5
2026-08-14,5.5,4.5
2026-08-17,6.0,4.5
2026-08-18,6.0,4.5
2026-08-19,6.0,4.5
2026-08-20,6.0,5.0
2026-08-21,5.5,5.0
2026-08-24,6.0,5.0
2026-08-25,6.0,5.0
2026-08-26,6.0,5.0
2026-08-27,6.0,5.0
2026-08-28,6.0,5.0
2026-08-31,6.0,5.0
2026-09-01,6.0,5.0
2026-09-02,6.0,5.0
2026-09-03,6.0,5.0
2026-09-04,5.5,5.0
2026-09-08,6.0,5.0
2026-09-09,6.0,5.0
2026-09-10,6.0,5.0
2026-09-11,6.0,5.0
2026-09-14,6.0,5.0
2026-09-15,6.0,5.0
2026-09-16,6.0,5.0
2026-09-17,6.0,5.5
2026-09-18,6.0,5.5
2026-09-21,6.0,5.0
2026-09-22,6.0,5.0
2026-09-23,6.0,5.0
2026-09-24,6.0,5.0
