Date,CallWall,PutWall
2026-06-26,96.0,93.0
2026-06-29,96.0,93.0
2026-06-30,96.0,93.0
2026-07-01,96.0,93.0
2026-07-02,98.0,95.0
2026-07-06,96.0,93.0
2026-07-07,96.0,92.5
2026-07-08,96.0,92.5
2026-07-09,96.0,93.0
2026-07-10,96.0,92.5
2026-07-13,99.0,90.0
2026-07-14,99.0,90.0
2026-07-15,95.0,90.0
2026-07-16,99.0,90.0
2026-07-17,95.0,90.0
2026-07-20,95.0,90.0
2026-07-21,95.0,90.0
2026-07-22,95.0,90.0
2026-07-23,95.0,90.0
2026-07-24,99.0,90.0
2026-07-27,95.0,90.0
2026-07-28,100.0,90.0
2026-07-29,95.0,90.0
2026-07-30,95.0,90.0
2026-07-31,95.0,90.0
2026-08-03,95.0,90.0
2026-08-04,95.0,90.0
2026-08-05,95.0,90.0
2026-08-06,96.0,90.0
2026-08-07,95.0,90.0
2026-08-10,96.0,90.0
2026-08-11,96.0,90.0
2026-08-12,96.0,92.0
2026-08-13,96.0,92.0
2026-08-14,93.0,92.0
2026-08-17,100.0,92.0
2026-08-18,100.0,92.0
2026-08-19,100.0,92.0
2026-08-20,100.0,92.0
2026-08-21,95.0,87.5
2026-08-24,100.0,87.5
2026-08-25,95.0,90.0
2026-08-26,95.0,90.0
2026-08-27,100.0,90.0
2026-08-28,95.0,87.5
2026-08-31,95.0,87.5
2026-09-01,95.0,87.5
2026-09-02,92.0,87.5
2026-09-03,92.0,89.0
2026-09-04,92.0,87.5
2026-09-07,92.0,87.5
2026-09-08,92.0,87.5
2026-09-09,92.0,87.5
2026-09-10,92.0,87.5
2026-09-11,90.0,87.5
2026-09-14,92.0,85.0
2026-09-15,90.0,85.0
2026-09-16,92.0,85.0
2026-09-17,90.0,85.0
2026-09-18,90.0,85.0
2026-09-21,90.0,85.0
2026-09-22,90.0,85.0
2026-09-23,87.5,85.0
2026-09-24,87.5,85.0
