Date,CallWall,PutWall
2026-06-26,220.0,175.0
2026-06-29,220.0,175.0
2026-06-30,230.0,175.0
2026-07-01,230.0,175.0
2026-07-02,230.0,175.0
2026-07-06,230.0,175.0
2026-07-07,230.0,175.0
2026-07-08,220.0,175.0
2026-07-09,220.0,175.0
2026-07-10,230.0,200.0
2026-07-13,230.0,175.0
2026-07-14,230.0,175.0
2026-07-15,220.0,175.0
2026-07-16,230.0,210.0
2026-07-17,230.0,220.0
2026-07-20,240.0,210.0
2026-07-21,230.0,210.0
2026-07-22,240.0,210.0
2026-07-23,240.0,210.0
2026-07-24,240.0,210.0
2026-07-27,240.0,210.0
2026-07-28,240.0,210.0
2026-07-29,240.0,210.0
2026-07-30,240.0,220.0
2026-07-31,240.0,220.0
2026-08-03,240.0,220.0
2026-08-04,240.0,220.0
2026-08-05,240.0,220.0
2026-08-06,240.0,220.0
2026-08-07,240.0,220.0
2026-08-10,230.0,210.0
2026-08-11,230.0,220.0
2026-08-12,230.0,220.0
2026-08-13,230.0,220.0
2026-08-14,230.0,220.0
2026-08-17,230.0,220.0
2026-08-18,230.0,220.0
2026-08-19,230.0,220.0
2026-08-20,230.0,220.0
2026-08-21,220.0,210.0
2026-08-24,230.0,210.0
2026-08-25,230.0,210.0
2026-08-26,230.0,210.0
2026-08-27,220.0,210.0
2026-08-28,220.0,210.0
2026-08-31,220.0,210.0
2026-09-01,230.0,210.0
2026-09-02,230.0,210.0
2026-09-03,220.0,190.0
2026-09-04,230.0,190.0
2026-09-07,230.0,210.0
2026-09-08,220.0,190.0
2026-09-09,220.0,210.0
2026-09-10,220.0,210.0
2026-09-11,220.0,210.0
2026-09-14,220.0,210.0
2026-09-15,220.0,210.0
2026-09-16,220.0,200.0
2026-09-17,220.0,200.0
2026-09-18,220.0,200.0
2026-09-21,220.0,210.0
2026-09-22,220.0,210.0
2026-09-23,220.0,200.0
2026-09-24,220.0,200.0
