Date,CallWall,PutWall
2026-06-26,415.0,410.0
2026-06-29,410.0,420.0
2026-06-30,410.0,420.0
2026-07-01,420.0,410.0
2026-07-02,435.0,420.0
2026-07-06,460.0,420.0
2026-07-07,450.0,420.0
2026-07-08,450.0,420.0
2026-07-09,450.0,420.0
2026-07-10,470.0,420.0
2026-07-13,470.0,420.0
2026-07-14,470.0,420.0
2026-07-15,470.0,420.0
2026-07-16,460.0,420.0
2026-07-17,460.0,420.0
2026-07-20,490.0,420.0
2026-07-21,490.0,420.0
2026-07-22,470.0,420.0
2026-07-23,470.0,420.0
2026-07-24,470.0,420.0
2026-07-27,490.0,420.0
2026-07-28,470.0,420.0
2026-07-29,427.5,420.0
2026-07-30,470.0,420.0
2026-07-31,440.0,415.0
2026-08-03,470.0,420.0
2026-08-04,430.0,420.0
2026-08-05,440.0,400.0
2026-08-06,440.0,400.0
2026-08-07,440.0,405.0
2026-08-10,440.0,400.0
2026-08-11,440.0,400.0
2026-08-12,440.0,400.0
2026-08-13,440.0,420.0
2026-08-14,450.0,400.0
2026-08-17,430.0,400.0
2026-08-18,460.0,420.0
2026-08-19,450.0,420.0
2026-08-20,440.0,430.0
2026-08-21,440.0,420.0
2026-08-24,430.0,420.0
2026-08-25,435.0,420.0
2026-08-26,435.0,420.0
2026-08-27,435.0,420.0
2026-08-28,435.0,420.0
2026-08-31,460.0,425.0
2026-09-01,460.0,370.0
2026-09-02,432.5,427.5
2026-09-03,460.0,427.5
2026-09-04,442.5,445.0
2026-09-07,460.0,420.0
2026-09-08,460.0,420.0
2026-09-09,430.0,420.0
2026-09-10,430.0,410.0
2026-09-11,430.0,400.0
2026-09-14,430.0,400.0
2026-09-15,430.0,410.0
2026-09-16,430.0,410.0
2026-09-17,440.0,400.0
2026-09-18,440.0,400.0
2026-09-21,435.0,400.0
2026-09-22,440.0,400.0
2026-09-23,440.0,400.0
2026-09-24,450.0,400.0
