Date,CallWall,PutWall
2026-06-26,480.0,450.0
2026-06-29,480.0,460.0
2026-06-30,480.0,460.0
2026-07-01,480.0,460.0
2026-07-02,485.0,460.0
2026-07-06,480.0,460.0
2026-07-07,520.0,460.0
2026-07-08,500.0,460.0
2026-07-09,480.0,460.0
2026-07-10,485.0,450.0
2026-07-13,460.0,450.0
2026-07-14,460.0,450.0
2026-07-15,460.0,470.0
2026-07-16,460.0,470.0
2026-07-17,480.0,470.0
2026-07-20,460.0,480.0
2026-07-21,460.0,480.0
2026-07-22,460.0,480.0
2026-07-23,460.0,450.0
2026-07-24,460.0,470.0
2026-07-27,460.0,470.0
2026-07-28,460.0,480.0
2026-07-29,460.0,480.0
2026-07-30,520.0,480.0
2026-07-31,460.0,500.0
2026-08-03,460.0,480.0
2026-08-04,460.0,480.0
2026-08-05,510.0,480.0
2026-08-06,460.0,480.0
2026-08-07,510.0,490.0
2026-08-10,510.0,480.0
2026-08-11,510.0,480.0
2026-08-12,510.0,480.0
2026-08-13,510.0,480.0
2026-08-14,510.0,480.0
2026-08-17,510.0,480.0
2026-08-18,510.0,490.0
2026-08-19,550.0,460.0
2026-08-20,540.0,490.0
2026-08-21,510.0,490.0
2026-08-24,540.0,490.0
2026-08-25,550.0,490.0
2026-08-26,550.0,490.0
2026-08-27,540.0,522.5
2026-08-28,550.0,542.5
2026-08-31,580.0,490.0
2026-09-01,580.0,490.0
2026-09-02,580.0,490.0
2026-09-03,580.0,490.0
2026-09-04,545.0,537.5
2026-09-08,540.0,490.0
2026-09-09,540.0,490.0
2026-09-10,540.0,490.0
2026-09-11,540.0,525.0
2026-09-14,580.0,460.0
2026-09-15,580.0,490.0
2026-09-16,580.0,490.0
2026-09-17,540.0,520.0
2026-09-18,580.0,510.0
2026-09-21,600.0,490.0
2026-09-22,600.0,490.0
2026-09-23,515.0,490.0
2026-09-24,515.0,505.0
