Date,CallWall,PutWall
2026-06-26,95.0,90.0
2026-06-29,95.0,90.0
2026-06-30,95.0,90.0
2026-07-01,95.0,90.0
2026-07-02,95.0,90.0
2026-07-06,95.0,90.0
2026-07-07,95.0,90.0
2026-07-08,95.0,90.0
2026-07-09,95.0,90.0
2026-07-10,95.0,90.0
2026-07-13,95.0,90.0
2026-07-14,95.0,90.0
2026-07-15,95.0,90.0
2026-07-16,95.0,90.0
2026-07-17,95.0,90.0
2026-07-20,100.0,80.0
2026-07-21,100.0,80.0
2026-07-22,95.0,80.0
2026-07-23,95.0,90.0
2026-07-24,95.0,90.0
2026-07-27,95.0,90.0
2026-07-28,95.0,90.0
2026-07-29,95.0,90.0
2026-07-30,95.0,90.0
2026-07-31,95.0,90.0
2026-08-03,95.0,90.0
2026-08-04,95.0,90.0
2026-08-05,95.0,85.0
2026-08-06,95.0,85.0
2026-08-07,95.0,85.0
2026-08-10,95.0,85.0
2026-08-11,95.0,85.0
2026-08-12,95.0,85.0
2026-08-13,95.0,85.0
2026-08-14,95.0,85.0
2026-08-17,90.0,85.0
2026-08-18,95.0,85.0
2026-08-19,90.0,85.0
2026-08-20,95.0,85.0
2026-08-21,90.0,85.0
2026-08-24,90.0,85.0
2026-08-25,90.0,85.0
2026-08-26,90.0,85.0
2026-08-27,90.0,85.0
2026-08-28,90.0,85.0
2026-08-31,90.0,85.0
2026-09-01,90.0,85.0
2026-09-02,90.0,85.0
2026-09-03,90.0,85.0
2026-09-04,90.0,85.0
2026-09-07,90.0,85.0
2026-09-08,90.0,85.0
2026-09-09,90.0,85.0
2026-09-10,90.0,85.0
2026-09-11,90.0,80.0
2026-09-14,90.0,80.0
2026-09-15,90.0,80.0
2026-09-16,90.0,80.0
2026-09-17,90.0,80.0
2026-09-18,90.0,80.0
2026-09-21,85.0,80.0
2026-09-22,85.0,80.0
2026-09-23,85.0,80.0
2026-09-24,85.0,80.0
