Date,CallWall,PutWall
2026-06-26,82.5,70.0
2026-06-29,85.0,77.5
2026-06-30,85.0,75.0
2026-07-01,85.0,70.0
2026-07-02,85.0,77.5
2026-07-06,85.0,77.5
2026-07-07,85.0,77.5
2026-07-08,85.0,77.5
2026-07-09,82.5,77.5
2026-07-10,85.0,80.0
2026-07-13,85.0,80.0
2026-07-14,85.0,80.0
2026-07-15,85.0,80.0
2026-07-16,85.0,80.0
2026-07-17,85.0,80.0
2026-07-20,82.5,75.0
2026-07-21,82.5,75.0
2026-07-22,85.0,75.0
2026-07-23,82.5,75.0
2026-07-24,85.0,75.0
2026-07-27,85.0,75.0
2026-07-28,85.0,75.0
2026-07-29,85.0,75.0
2026-07-30,85.0,75.0
2026-07-31,85.0,75.0
2026-08-03,85.0,75.0
2026-08-04,82.5,75.0
2026-08-05,85.0,75.0
2026-08-06,85.0,75.0
2026-08-07,85.0,75.0
2026-08-10,85.0,75.0
2026-08-11,85.0,75.0
2026-08-12,85.0,75.0
2026-08-13,85.0,75.0
2026-08-14,85.0,75.0
2026-08-17,85.0,75.0
2026-08-18,85.0,80.0
2026-08-19,85.0,75.0
2026-08-20,85.0,75.0
2026-08-21,85.0,75.0
2026-08-24,82.5,75.0
2026-08-25,82.5,72.5
2026-08-26,82.5,72.5
2026-08-27,82.5,72.5
2026-08-28,82.5,72.5
2026-08-31,82.5,72.5
2026-09-01,82.5,72.5
2026-09-02,82.5,72.5
2026-09-03,82.5,72.5
2026-09-04,82.5,72.5
2026-09-07,82.5,80.0
2026-09-08,82.5,75.0
2026-09-09,82.5,72.5
2026-09-10,82.5,72.5
2026-09-11,85.0,72.5
2026-09-14,85.0,72.5
2026-09-15,82.5,72.5
2026-09-16,82.5,77.5
2026-09-17,82.5,75.0
2026-09-18,80.0,77.5
2026-09-21,80.0,77.5
2026-09-22,80.0,77.5
2026-09-23,80.0,77.5
2026-09-24,80.0,77.5
