Date,CallWall,PutWall
2026-06-26,24.0,22.0
2026-06-29,22.5,22.0
2026-06-30,22.5,22.0
2026-07-01,21.5,22.0
2026-07-02,20.5,22.0
2026-07-06,20.5,22.0
2026-07-07,21.0,19.0
2026-07-08,21.0,22.0
2026-07-09,21.0,19.0
2026-07-10,21.5,21.0
2026-07-13,24.0,22.0
2026-07-14,24.0,21.0
2026-07-15,22.0,21.0
2026-07-16,22.5,22.0
2026-07-17,23.0,22.0
2026-07-20,23.0,20.0
2026-07-21,23.0,20.0
2026-07-22,23.0,20.0
2026-07-23,23.0,20.0
2026-07-24,24.0,20.0
2026-07-27,24.0,20.0
2026-07-28,25.0,20.0
2026-07-29,24.0,20.0
2026-07-30,24.0,20.0
2026-07-31,24.0,20.0
2026-08-03,24.0,20.0
2026-08-04,25.0,20.0
2026-08-05,24.0,22.5
2026-08-06,23.5,22.5
2026-08-07,24.0,23.5
2026-08-10,25.0,20.0
2026-08-11,25.0,23.5
2026-08-12,25.0,23.5
2026-08-13,25.0,23.5
2026-08-14,25.0,23.0
2026-08-17,25.0,23.0
2026-08-18,25.0,23.0
2026-08-19,25.0,23.0
2026-08-20,25.0,23.0
2026-08-21,25.0,23.0
2026-08-24,26.0,23.0
2026-08-25,26.0,23.0
2026-08-26,26.0,23.0
2026-08-27,26.0,23.0
2026-08-28,26.0,25.0
2026-08-31,26.0,23.0
2026-09-01,27.0,23.0
2026-09-02,27.0,25.0
2026-09-03,26.0,25.5
2026-09-04,26.0,25.5
2026-09-08,27.0,25.0
2026-09-09,26.0,25.0
2026-09-10,26.0,25.5
2026-09-11,26.0,25.5
2026-09-14,27.0,23.0
2026-09-15,27.0,25.0
2026-09-16,27.0,23.0
2026-09-17,27.0,25.5
2026-09-18,26.0,25.0
2026-09-21,27.0,24.5
2026-09-22,26.0,24.5
2026-09-23,26.0,24.5
2026-09-24,26.0,24.5
