Date,CallWall,PutWall
2026-06-26,52.5,45.0
2026-06-29,52.5,45.0
2026-06-30,52.5,45.0
2026-07-01,52.5,45.0
2026-07-02,52.5,45.0
2026-07-06,52.5,45.0
2026-07-07,52.5,45.0
2026-07-08,52.5,45.0
2026-07-09,52.5,45.0
2026-07-10,52.5,45.0
2026-07-13,52.5,45.0
2026-07-14,52.5,45.0
2026-07-15,52.5,45.0
2026-07-16,52.5,45.0
2026-07-17,52.5,45.0
2026-07-20,52.5,47.5
2026-07-21,52.5,47.5
2026-07-22,52.5,47.5
2026-07-23,52.5,47.5
2026-07-24,52.5,47.5
2026-07-27,52.5,47.5
2026-07-28,55.0,47.5
2026-07-29,55.0,47.5
2026-07-30,52.5,47.5
2026-07-31,52.5,47.5
2026-08-03,52.5,47.5
2026-08-04,55.0,47.5
2026-08-05,55.0,47.5
2026-08-06,52.5,47.5
2026-08-07,52.5,47.5
2026-08-10,52.5,47.5
2026-08-11,52.5,47.5
2026-08-12,52.5,47.5
2026-08-13,52.5,50.0
2026-08-14,55.0,45.0
2026-08-17,55.0,45.0
2026-08-18,55.0,45.0
2026-08-19,55.0,50.0
2026-08-20,55.0,50.0
2026-08-21,55.0,50.0
2026-08-24,55.0,45.0
2026-08-25,55.0,45.0
2026-08-26,52.5,47.5
2026-08-27,52.5,47.5
2026-08-28,52.5,47.5
2026-08-31,52.5,47.5
2026-09-01,55.0,47.5
2026-09-02,52.5,47.5
2026-09-03,52.5,47.5
2026-09-04,52.5,45.0
2026-09-07,52.5,45.0
2026-09-08,52.5,47.5
2026-09-09,52.5,47.5
2026-09-10,52.5,47.5
2026-09-11,52.5,50.0
2026-09-14,52.5,50.0
2026-09-15,52.5,50.0
2026-09-16,52.5,47.5
2026-09-17,52.5,47.5
2026-09-18,52.5,50.0
2026-09-21,55.0,50.0
2026-09-22,52.5,50.0
2026-09-23,55.0,50.0
2026-09-24,55.0,50.0
