Date,CallWall,PutWall
2026-06-26,140.0,137.0
2026-06-29,140.0,135.0
2026-06-30,140.0,135.0
2026-07-01,140.0,128.0
2026-07-02,131.0,125.0
2026-07-06,140.0,125.0
2026-07-07,140.0,125.0
2026-07-08,140.0,125.0
2026-07-09,140.0,125.0
2026-07-10,135.0,128.0
2026-07-13,140.0,130.0
2026-07-14,140.0,130.0
2026-07-15,140.0,125.0
2026-07-16,140.0,125.0
2026-07-17,140.0,125.0
2026-07-20,145.0,125.0
2026-07-21,145.0,138.0
2026-07-22,140.0,138.0
2026-07-23,140.0,133.0
2026-07-24,140.0,137.0
2026-07-27,140.0,133.0
2026-07-28,145.0,138.0
2026-07-29,150.0,136.0
2026-07-30,150.0,141.0
2026-07-31,150.0,141.0
2026-08-03,150.0,138.0
2026-08-04,150.0,143.0
2026-08-05,150.0,125.0
2026-08-06,150.0,130.0
2026-08-07,150.0,130.0
2026-08-10,150.0,130.0
2026-08-11,150.0,143.0
2026-08-12,150.0,143.0
2026-08-13,155.0,143.0
2026-08-14,155.0,152.5
2026-08-17,150.0,152.5
2026-08-18,150.0,152.5
2026-08-19,160.0,152.5
2026-08-20,160.0,152.5
2026-08-21,165.0,152.5
2026-08-24,170.0,162.5
2026-08-25,170.0,162.5
2026-08-26,170.0,162.5
2026-08-27,165.0,162.5
2026-08-28,165.0,162.5
2026-08-31,170.0,162.5
2026-09-01,170.0,160.0
2026-09-02,170.0,160.0
2026-09-03,170.0,160.0
2026-09-04,165.0,162.5
2026-09-07,170.0,160.0
2026-09-08,170.0,160.0
2026-09-09,170.0,157.5
2026-09-10,165.0,157.5
2026-09-11,165.0,157.5
2026-09-14,165.0,155.0
2026-09-15,145.0,155.0
2026-09-16,145.0,155.0
2026-09-17,160.0,155.0
2026-09-18,170.0,155.0
2026-09-21,162.5,155.0
2026-09-22,162.5,155.0
2026-09-23,160.0,155.0
2026-09-24,160.0,155.0
