Date,CallWall,PutWall
2026-06-26,165.0,145.0
2026-06-29,170.0,145.0
2026-06-30,170.0,145.0
2026-07-01,170.0,145.0
2026-07-02,165.0,145.0
2026-07-06,147.0,145.0
2026-07-07,160.0,145.0
2026-07-08,170.0,145.0
2026-07-09,165.0,145.0
2026-07-10,160.0,145.0
2026-07-13,160.0,145.0
2026-07-14,160.0,145.0
2026-07-15,160.0,140.0
2026-07-16,160.0,145.0
2026-07-17,160.0,152.5
2026-07-20,160.0,150.0
2026-07-21,160.0,150.0
2026-07-22,160.0,150.0
2026-07-23,160.0,150.0
2026-07-24,160.0,150.0
2026-07-27,160.0,150.0
2026-07-28,160.0,150.0
2026-07-29,160.0,150.0
2026-07-30,160.0,150.0
2026-07-31,160.0,150.0
2026-08-03,160.0,150.0
2026-08-04,160.0,150.0
2026-08-05,160.0,150.0
2026-08-06,160.0,150.0
2026-08-07,160.0,150.0
2026-08-10,160.0,150.0
2026-08-11,160.0,150.0
2026-08-12,160.0,150.0
2026-08-13,160.0,150.0
2026-08-14,160.0,145.0
2026-08-17,160.0,145.0
2026-08-18,160.0,145.0
2026-08-19,152.5,145.0
2026-08-20,152.5,140.0
2026-08-21,152.5,140.0
2026-08-24,150.0,140.0
2026-08-25,142.0,140.0
2026-08-26,142.0,140.0
2026-08-27,138.0,140.0
2026-08-28,135.0,140.0
2026-08-31,137.0,140.0
2026-09-01,137.0,140.0
2026-09-02,140.0,130.0
2026-09-03,136.0,140.0
2026-09-04,134.0,140.0
2026-09-07,140.0,130.0
2026-09-08,135.0,130.0
2026-09-09,120.0,130.0
2026-09-10,120.0,130.0
2026-09-11,120.0,125.0
2026-09-14,120.0,125.0
2026-09-15,120.0,125.0
2026-09-16,130.0,125.0
2026-09-17,130.0,125.0
2026-09-18,130.0,126.0
2026-09-21,130.0,126.0
2026-09-22,130.0,120.0
2026-09-23,130.0,132.0
2026-09-24,130.0,132.0
