Date,CallWall,PutWall
2026-06-26,500.0,497.5
2026-06-29,520.0,492.5
2026-06-30,520.0,492.5
2026-07-01,520.0,492.5
2026-07-02,520.0,492.5
2026-07-06,530.0,515.0
2026-07-07,530.0,515.0
2026-07-08,530.0,515.0
2026-07-09,530.0,515.0
2026-07-10,530.0,515.0
2026-07-13,530.0,515.0
2026-07-14,530.0,515.0
2026-07-15,530.0,515.0
2026-07-16,530.0,515.0
2026-07-17,530.0,515.0
2026-07-20,500.0,520.0
2026-07-21,550.0,470.0
2026-07-22,550.0,470.0
2026-07-23,580.0,485.0
2026-07-24,565.0,560.0
2026-07-27,620.0,550.0
2026-07-28,600.0,565.0
2026-07-29,600.0,565.0
2026-07-30,600.0,565.0
2026-07-31,600.0,565.0
2026-08-03,570.0,560.0
2026-08-04,620.0,560.0
2026-08-05,620.0,560.0
2026-08-06,620.0,560.0
2026-08-07,620.0,560.0
2026-08-10,620.0,565.0
2026-08-11,620.0,565.0
2026-08-12,620.0,565.0
2026-08-13,620.0,565.0
2026-08-14,600.0,565.0
2026-08-17,600.0,565.0
2026-08-18,600.0,565.0
2026-08-19,620.0,565.0
2026-08-20,640.0,595.0
2026-08-21,640.0,615.0
2026-08-24,600.0,610.0
2026-08-25,620.0,610.0
2026-08-26,640.0,615.0
2026-08-27,640.0,625.0
2026-08-28,640.0,625.0
2026-08-31,630.0,622.5
2026-09-01,630.0,560.0
2026-09-02,630.0,602.5
2026-09-03,630.0,615.0
2026-09-04,630.0,615.0
2026-09-07,630.0,560.0
2026-09-08,630.0,560.0
2026-09-09,630.0,602.5
2026-09-10,630.0,602.5
2026-09-11,630.0,540.0
2026-09-14,610.0,540.0
2026-09-15,640.0,540.0
2026-09-16,640.0,540.0
2026-09-17,660.0,540.0
2026-09-18,650.0,540.0
2026-09-21,670.0,600.0
2026-09-22,670.0,600.0
2026-09-23,670.0,600.0
2026-09-24,685.0,600.0
