Date,CallWall,PutWall
2026-06-26,190.0,182.5
2026-06-29,190.0,170.0
2026-06-30,172.5,170.0
2026-07-01,172.5,170.0
2026-07-02,175.0,170.0
2026-07-06,190.0,170.0
2026-07-07,190.0,170.0
2026-07-08,195.0,170.0
2026-07-09,195.0,180.0
2026-07-10,195.0,185.0
2026-07-13,195.0,185.0
2026-07-14,195.0,185.0
2026-07-15,195.0,185.0
2026-07-16,195.0,185.0
2026-07-17,195.0,190.0
2026-07-20,195.0,185.0
2026-07-21,195.0,185.0
2026-07-22,195.0,185.0
2026-07-23,195.0,185.0
2026-07-24,195.0,180.0
2026-07-27,195.0,175.0
2026-07-28,195.0,165.0
2026-07-29,195.0,165.0
2026-07-30,195.0,175.0
2026-07-31,195.0,170.0
2026-08-03,195.0,185.0
2026-08-04,195.0,165.0
2026-08-05,195.0,175.0
2026-08-06,195.0,175.0
2026-08-07,177.5,175.0
2026-08-10,195.0,185.0
2026-08-11,195.0,185.0
2026-08-12,195.0,165.0
2026-08-13,195.0,185.0
2026-08-14,182.5,180.0
2026-08-17,195.0,180.0
2026-08-18,195.0,185.0
2026-08-19,195.0,185.0
2026-08-20,195.0,180.0
2026-08-21,195.0,182.5
2026-08-24,185.0,170.0
2026-08-25,185.0,170.0
2026-08-26,185.0,170.0
2026-08-27,185.0,170.0
2026-08-28,185.0,170.0
2026-08-31,190.0,170.0
2026-09-01,190.0,180.0
2026-09-02,190.0,180.0
2026-09-03,192.5,180.0
2026-09-04,190.0,180.0
2026-09-08,190.0,170.0
2026-09-09,185.0,170.0
2026-09-10,182.5,175.0
2026-09-11,195.0,182.5
2026-09-14,195.0,170.0
2026-09-15,195.0,170.0
2026-09-16,195.0,170.0
2026-09-17,195.0,170.0
2026-09-18,195.0,170.0
2026-09-21,195.0,165.0
2026-09-22,170.0,160.0
2026-09-23,170.0,160.0
2026-09-24,170.0,155.0
