Date,CallWall,PutWall
2026-06-26,385.0,370.0
2026-06-29,410.0,380.0
2026-06-30,430.0,380.0
2026-07-01,425.0,380.0
2026-07-02,410.0,380.0
2026-07-06,420.0,380.0
2026-07-07,410.0,380.0
2026-07-08,410.0,390.0
2026-07-09,420.0,380.0
2026-07-10,410.0,380.0
2026-07-13,420.0,392.5
2026-07-14,420.0,380.0
2026-07-15,420.0,380.0
2026-07-16,395.0,380.0
2026-07-17,420.0,380.0
2026-07-20,420.0,370.0
2026-07-21,420.0,370.0
2026-07-22,420.0,370.0
2026-07-23,420.0,320.0
2026-07-24,350.0,310.0
2026-07-27,330.0,307.5
2026-07-28,330.0,307.5
2026-07-29,310.0,307.5
2026-07-30,315.0,300.0
2026-07-31,310.0,305.0
2026-08-03,325.0,300.0
2026-08-04,330.0,300.0
2026-08-05,330.0,320.0
2026-08-06,325.0,310.0
2026-08-07,330.0,300.0
2026-08-10,330.0,300.0
2026-08-11,335.0,300.0
2026-08-12,335.0,320.0
2026-08-13,335.0,320.0
2026-08-14,340.0,300.0
2026-08-17,340.0,300.0
2026-08-18,345.0,320.0
2026-08-19,350.0,300.0
2026-08-20,350.0,340.0
2026-08-21,365.0,340.0
2026-08-24,365.0,340.0
2026-08-25,360.0,340.0
2026-08-26,360.0,347.5
2026-08-27,360.0,340.0
2026-08-28,360.0,345.0
2026-08-31,365.0,340.0
2026-09-01,370.0,350.0
2026-09-02,370.0,352.5
2026-09-03,400.0,340.0
2026-09-04,357.5,355.0
2026-09-07,400.0,360.0
2026-09-08,370.0,340.0
2026-09-09,370.0,365.0
2026-09-10,370.0,350.0
2026-09-11,367.5,365.0
2026-09-14,370.0,360.0
2026-09-15,370.0,350.0
2026-09-16,370.0,355.0
2026-09-17,370.0,350.0
2026-09-18,370.0,360.0
2026-09-21,375.0,350.0
2026-09-22,380.0,350.0
2026-09-23,380.0,377.5
2026-09-24,380.0,350.0
