Date,CallWall,PutWall
2026-06-26,60.0,55.0
2026-06-29,60.0,55.0
2026-06-30,60.0,55.0
2026-07-01,60.0,55.0
2026-07-02,60.0,55.0
2026-07-06,60.0,55.0
2026-07-07,60.0,55.0
2026-07-08,60.0,55.0
2026-07-09,60.0,55.0
2026-07-10,60.0,55.0
2026-07-13,60.0,55.0
2026-07-14,60.0,55.0
2026-07-15,60.0,55.0
2026-07-16,60.0,55.0
2026-07-17,57.5,55.0
2026-07-20,65.0,55.0
2026-07-21,65.0,55.0
2026-07-22,60.0,55.0
2026-07-23,60.0,55.0
2026-07-24,60.0,55.0
2026-07-27,65.0,55.0
2026-07-28,65.0,57.5
2026-07-29,65.0,57.5
2026-07-30,65.0,57.5
2026-07-31,65.0,55.0
2026-08-03,65.0,57.5
2026-08-04,65.0,55.0
2026-08-05,65.0,55.0
2026-08-06,65.0,55.0
2026-08-07,65.0,55.0
2026-08-10,65.0,55.0
2026-08-11,65.0,55.0
2026-08-12,65.0,55.0
2026-08-13,65.0,55.0
2026-08-14,60.0,55.0
2026-08-17,60.0,55.0
2026-08-18,60.0,55.0
2026-08-19,60.0,55.0
2026-08-20,60.0,55.0
2026-08-21,60.0,55.0
2026-08-24,60.0,55.0
2026-08-25,60.0,55.0
2026-08-26,60.0,55.0
2026-08-27,60.0,55.0
2026-08-28,60.0,55.0
2026-08-31,60.0,55.0
2026-09-01,60.0,55.0
2026-09-02,60.0,55.0
2026-09-03,60.0,52.5
2026-09-04,65.0,50.0
2026-09-07,65.0,50.0
2026-09-08,60.0,52.5
2026-09-09,60.0,50.0
2026-09-10,60.0,55.0
2026-09-11,60.0,50.0
2026-09-14,60.0,55.0
2026-09-15,60.0,52.5
2026-09-16,60.0,52.5
2026-09-17,55.0,52.5
2026-09-18,55.0,52.5
2026-09-21,60.0,50.0
2026-09-22,55.0,50.0
2026-09-23,55.0,50.0
2026-09-24,55.0,50.0
