Date,CallWall,PutWall
2026-06-26,240.0,235.0
2026-06-29,240.0,190.0
2026-06-30,250.0,190.0
2026-07-01,250.0,190.0
2026-07-02,250.0,190.0
2026-07-06,290.0,190.0
2026-07-07,290.0,190.0
2026-07-08,240.0,245.0
2026-07-09,240.0,245.0
2026-07-10,240.0,210.0
2026-07-13,240.0,210.0
2026-07-14,240.0,210.0
2026-07-15,240.0,210.0
2026-07-16,240.0,210.0
2026-07-17,240.0,235.0
2026-07-20,250.0,210.0
2026-07-21,250.0,210.0
2026-07-22,230.0,210.0
2026-07-23,230.0,210.0
2026-07-24,235.0,210.0
2026-07-27,250.0,210.0
2026-07-28,250.0,210.0
2026-07-29,250.0,210.0
2026-07-30,250.0,210.0
2026-07-31,250.0,210.0
2026-08-03,290.0,205.0
2026-08-04,290.0,205.0
2026-08-05,290.0,205.0
2026-08-06,290.0,205.0
2026-08-07,250.0,240.0
2026-08-10,250.0,240.0
2026-08-11,250.0,247.5
2026-08-12,250.0,247.5
2026-08-13,250.0,240.0
2026-08-14,250.0,247.5
2026-08-17,250.0,200.0
2026-08-18,250.0,200.0
2026-08-19,250.0,240.0
2026-08-20,245.0,240.0
2026-08-21,245.0,240.0
2026-08-24,230.0,200.0
2026-08-25,250.0,235.0
2026-08-26,250.0,235.0
2026-08-27,250.0,235.0
2026-08-28,240.0,235.0
2026-08-31,250.0,200.0
2026-09-01,230.0,200.0
2026-09-02,230.0,200.0
2026-09-03,220.0,200.0
2026-09-04,220.0,205.0
2026-09-08,230.0,200.0
2026-09-09,230.0,200.0
2026-09-10,230.0,205.0
2026-09-11,230.0,210.0
2026-09-14,230.0,235.0
2026-09-15,250.0,210.0
2026-09-16,250.0,210.0
2026-09-17,250.0,210.0
2026-09-18,250.0,210.0
2026-09-21,240.0,190.0
2026-09-22,240.0,190.0
2026-09-23,207.5,190.0
2026-09-24,207.5,190.0
