Date,CallWall,PutWall
2026-06-26,320.0,285.0
2026-06-29,320.0,285.0
2026-06-30,320.0,285.0
2026-07-01,320.0,292.5
2026-07-02,320.0,292.5
2026-07-06,320.0,270.0
2026-07-07,300.0,270.0
2026-07-08,307.5,270.0
2026-07-09,320.0,270.0
2026-07-10,307.5,270.0
2026-07-13,320.0,270.0
2026-07-14,320.0,270.0
2026-07-15,310.0,270.0
2026-07-16,310.0,270.0
2026-07-17,310.0,285.0
2026-07-20,310.0,220.0
2026-07-21,310.0,215.0
2026-07-22,310.0,215.0
2026-07-23,300.0,290.0
2026-07-24,287.5,280.0
2026-07-27,287.5,260.0
2026-07-28,287.5,260.0
2026-07-29,287.5,260.0
2026-07-30,285.0,260.0
2026-07-31,285.0,260.0
2026-08-03,285.0,260.0
2026-08-04,285.0,260.0
2026-08-05,285.0,260.0
2026-08-06,285.0,260.0
2026-08-07,285.0,260.0
2026-08-10,285.0,260.0
2026-08-11,285.0,260.0
2026-08-12,285.0,260.0
2026-08-13,285.0,270.0
2026-08-14,285.0,260.0
2026-08-17,300.0,280.0
2026-08-18,285.0,260.0
2026-08-19,285.0,270.0
2026-08-20,300.0,260.0
2026-08-21,300.0,265.0
2026-08-24,275.0,260.0
2026-08-25,275.0,260.0
2026-08-26,270.0,260.0
2026-08-27,270.0,260.0
2026-08-28,275.0,257.5
2026-08-31,270.0,255.0
2026-09-01,270.0,255.0
2026-09-02,265.0,255.0
2026-09-03,260.0,255.0
2026-09-04,260.0,220.0
2026-09-08,260.0,220.0
2026-09-09,260.0,220.0
2026-09-10,260.0,250.0
2026-09-11,270.0,250.0
2026-09-14,272.5,250.0
2026-09-15,272.5,255.0
2026-09-16,272.5,260.0
2026-09-17,272.5,255.0
2026-09-18,272.5,260.0
2026-09-21,272.5,260.0
2026-09-22,272.5,260.0
2026-09-23,272.5,260.0
2026-09-24,272.5,260.0
