Date,CallWall,PutWall
2026-06-26,425.0,422.5
2026-06-29,430.0,405.0
2026-06-30,420.0,405.0
2026-07-01,430.0,405.0
2026-07-02,425.0,405.0
2026-07-06,410.0,405.0
2026-07-07,430.0,380.0
2026-07-08,430.0,380.0
2026-07-09,430.0,380.0
2026-07-10,422.5,425.0
2026-07-13,450.0,380.0
2026-07-14,430.0,380.0
2026-07-15,430.0,380.0
2026-07-16,430.0,415.0
2026-07-17,430.0,425.0
2026-07-20,430.0,410.0
2026-07-21,430.0,410.0
2026-07-22,450.0,422.5
2026-07-23,430.0,422.5
2026-07-24,450.0,422.5
2026-07-27,430.0,410.0
2026-07-28,430.0,410.0
2026-07-29,430.0,420.0
2026-07-30,430.0,420.0
2026-07-31,450.0,420.0
2026-08-03,450.0,410.0
2026-08-04,430.0,410.0
2026-08-05,430.0,390.0
2026-08-06,420.0,405.0
2026-08-07,410.0,405.0
2026-08-10,420.0,390.0
2026-08-11,400.0,390.0
2026-08-12,400.0,390.0
2026-08-13,400.0,390.0
2026-08-14,430.0,390.0
2026-08-17,400.0,390.0
2026-08-18,400.0,390.0
2026-08-19,400.0,390.0
2026-08-20,400.0,390.0
2026-08-21,392.5,390.0
2026-08-24,400.0,370.0
2026-08-25,400.0,370.0
2026-08-26,400.0,370.0
2026-08-27,400.0,385.0
2026-08-28,400.0,385.0
2026-08-31,410.0,385.0
2026-09-01,400.0,380.0
2026-09-02,410.0,380.0
2026-09-03,402.5,380.0
2026-09-04,415.0,385.0
2026-09-07,415.0,385.0
2026-09-08,415.0,385.0
2026-09-09,410.0,385.0
2026-09-10,395.0,385.0
2026-09-11,410.0,377.5
2026-09-14,400.0,370.0
2026-09-15,400.0,370.0
2026-09-16,400.0,370.0
2026-09-17,400.0,370.0
2026-09-18,377.5,375.0
2026-09-21,400.0,370.0
2026-09-22,400.0,370.0
2026-09-23,400.0,370.0
2026-09-24,400.0,370.0
