Date,CallWall,PutWall
2026-06-26,285.0,260.0
2026-06-29,285.0,260.0
2026-06-30,285.0,260.0
2026-07-01,285.0,260.0
2026-07-02,285.0,260.0
2026-07-06,290.0,260.0
2026-07-07,290.0,260.0
2026-07-08,285.0,260.0
2026-07-09,285.0,260.0
2026-07-10,290.0,265.0
2026-07-13,290.0,265.0
2026-07-14,290.0,280.0
2026-07-15,290.0,265.0
2026-07-16,295.0,280.0
2026-07-17,300.0,265.0
2026-07-20,300.0,280.0
2026-07-21,300.0,280.0
2026-07-22,300.0,280.0
2026-07-23,310.0,292.5
2026-07-24,310.0,292.5
2026-07-27,300.0,280.0
2026-07-28,305.0,280.0
2026-07-29,305.0,280.0
2026-07-30,305.0,280.0
2026-07-31,305.0,285.0
2026-08-03,300.0,285.0
2026-08-04,305.0,285.0
2026-08-05,305.0,285.0
2026-08-06,305.0,285.0
2026-08-07,300.0,285.0
2026-08-10,300.0,292.5
2026-08-11,300.0,292.5
2026-08-12,300.0,292.5
2026-08-13,300.0,292.5
2026-08-14,300.0,292.5
2026-08-17,300.0,297.5
2026-08-18,300.0,297.5
2026-08-19,300.0,297.5
2026-08-20,305.0,297.5
2026-08-21,305.0,302.5
2026-08-24,320.0,280.0
2026-08-25,320.0,240.0
2026-08-26,310.0,240.0
2026-08-27,310.0,307.5
2026-08-28,310.0,307.5
2026-08-31,310.0,285.0
2026-09-01,310.0,280.0
2026-09-02,300.0,280.0
2026-09-03,300.0,280.0
2026-09-04,300.0,280.0
2026-09-07,300.0,280.0
2026-09-08,290.0,280.0
2026-09-09,290.0,280.0
2026-09-10,290.0,280.0
2026-09-11,290.0,280.0
2026-09-14,290.0,280.0
2026-09-15,290.0,280.0
2026-09-16,290.0,280.0
2026-09-17,290.0,280.0
2026-09-18,290.0,280.0
2026-09-21,290.0,265.0
2026-09-22,285.0,265.0
2026-09-23,285.0,265.0
2026-09-24,285.0,275.0
