Date,CallWall,PutWall
2026-06-26,110.0,108.0
2026-06-29,110.0,95.0
2026-06-30,110.0,95.0
2026-07-01,110.0,95.0
2026-07-02,110.0,95.0
2026-07-06,110.0,95.0
2026-07-07,110.0,109.0
2026-07-08,110.0,109.0
2026-07-09,110.0,109.0
2026-07-10,115.0,105.0
2026-07-13,115.0,112.0
2026-07-14,115.0,112.0
2026-07-15,115.0,112.0
2026-07-16,120.0,105.0
2026-07-17,120.0,105.0
2026-07-20,120.0,105.0
2026-07-21,120.0,105.0
2026-07-22,120.0,105.0
2026-07-23,120.0,105.0
2026-07-24,115.0,105.0
2026-07-27,120.0,105.0
2026-07-28,115.0,105.0
2026-07-29,120.0,105.0
2026-07-30,120.0,105.0
2026-07-31,110.0,105.0
2026-08-03,110.0,100.0
2026-08-04,110.0,100.0
2026-08-05,110.0,105.0
2026-08-06,110.0,100.0
2026-08-07,110.0,100.0
2026-08-10,105.0,100.0
2026-08-11,105.0,100.0
2026-08-12,105.0,100.0
2026-08-13,105.0,100.0
2026-08-14,105.0,100.0
2026-08-17,110.0,100.0
2026-08-18,110.0,100.0
2026-08-19,110.0,100.0
2026-08-20,110.0,100.0
2026-08-21,110.0,102.0
2026-08-24,110.0,100.0
2026-08-25,106.0,100.0
2026-08-26,106.0,100.0
2026-08-27,106.0,100.0
2026-08-28,106.0,100.0
2026-08-31,110.0,105.0
2026-09-01,110.0,100.0
2026-09-02,110.0,105.0
2026-09-03,110.0,100.0
2026-09-04,110.0,100.0
2026-09-07,110.0,100.0
2026-09-08,110.0,100.0
2026-09-09,105.0,100.0
2026-09-10,105.0,100.0
2026-09-11,105.0,95.0
2026-09-14,110.0,100.0
2026-09-15,110.0,100.0
2026-09-16,105.0,100.0
2026-09-17,110.0,100.0
2026-09-18,110.0,100.0
2026-09-21,105.0,95.0
2026-09-22,105.0,90.0
2026-09-23,105.0,95.0
2026-09-24,100.0,95.0
