Date,CallWall,PutWall
2026-06-26,50.0,42.0
2026-06-29,50.0,42.0
2026-06-30,50.0,42.0
2026-07-01,50.0,42.0
2026-07-02,50.0,42.0
2026-07-06,50.0,42.0
2026-07-07,50.0,42.0
2026-07-08,50.0,42.0
2026-07-09,50.0,42.0
2026-07-10,50.0,42.0
2026-07-13,50.0,42.0
2026-07-14,50.0,42.0
2026-07-15,50.0,42.0
2026-07-16,50.0,42.0
2026-07-17,50.0,39.0
2026-07-20,47.0,40.5
2026-07-21,47.0,40.5
2026-07-22,47.0,40.5
2026-07-23,41.0,40.5
2026-07-24,40.0,39.5
2026-07-27,47.0,38.0
2026-07-28,47.0,38.0
2026-07-29,47.0,38.0
2026-07-30,47.0,38.0
2026-07-31,47.0,38.0
2026-08-03,47.0,38.0
2026-08-04,43.0,38.0
2026-08-05,43.0,38.0
2026-08-06,43.0,38.0
2026-08-07,44.0,41.0
2026-08-10,45.0,41.0
2026-08-11,45.0,41.0
2026-08-12,45.0,41.0
2026-08-13,45.0,44.0
2026-08-14,50.0,44.0
2026-08-17,50.0,35.0
2026-08-18,50.0,35.0
2026-08-19,50.0,35.0
2026-08-20,50.0,43.5
2026-08-21,50.0,45.0
2026-08-24,50.0,35.0
2026-08-25,50.0,35.0
2026-08-26,50.0,45.0
2026-08-27,50.0,45.0
2026-08-28,50.0,35.0
2026-08-31,50.0,45.0
2026-09-01,50.0,45.0
2026-09-02,50.0,45.0
2026-09-03,50.0,45.0
2026-09-04,50.0,45.0
2026-09-08,50.0,45.0
2026-09-09,48.0,45.0
2026-09-10,50.0,45.0
2026-09-11,50.0,40.0
2026-09-14,50.0,40.0
2026-09-15,50.0,40.0
2026-09-16,50.0,40.0
2026-09-17,50.0,40.0
2026-09-18,50.0,40.0
2026-09-21,45.0,40.0
2026-09-22,45.0,40.0
2026-09-23,50.0,40.0
2026-09-24,50.0,41.0
