Date,CallWall,PutWall
2026-06-26,61.0,59.0
2026-06-29,60.0,55.0
2026-06-30,60.0,59.0
2026-07-01,63.0,55.0
2026-07-02,60.0,61.0
2026-07-06,62.5,55.0
2026-07-07,64.0,55.0
2026-07-08,60.0,55.0
2026-07-09,60.0,62.0
2026-07-10,62.5,62.0
2026-07-13,62.5,55.0
2026-07-14,62.5,59.0
2026-07-15,62.5,61.0
2026-07-16,62.5,61.0
2026-07-17,62.5,61.0
2026-07-20,62.5,60.0
2026-07-21,62.5,60.0
2026-07-22,62.5,60.0
2026-07-23,62.5,62.0
2026-07-24,64.0,62.0
2026-07-27,62.5,60.0
2026-07-28,62.5,60.0
2026-07-29,62.5,60.0
2026-07-30,62.5,61.0
2026-07-31,62.5,63.0
2026-08-03,62.5,61.0
2026-08-04,62.5,61.0
2026-08-05,62.5,61.0
2026-08-06,62.5,61.0
2026-08-07,64.0,62.0
2026-08-10,62.5,62.0
2026-08-11,62.5,62.0
2026-08-12,62.5,62.0
2026-08-13,66.0,62.0
2026-08-14,65.0,63.0
2026-08-17,65.0,50.0
2026-08-18,65.0,50.0
2026-08-19,62.5,62.0
2026-08-20,62.5,62.0
2026-08-21,62.5,62.0
2026-08-24,65.0,66.0
2026-08-25,65.0,66.0
2026-08-26,65.0,62.0
2026-08-27,65.0,66.0
2026-08-28,65.0,62.0
2026-08-31,65.0,63.0
2026-09-01,65.0,63.0
2026-09-02,65.0,63.0
2026-09-03,65.0,63.0
2026-09-04,65.0,63.0
2026-09-07,65.0,63.0
2026-09-08,65.0,63.0
2026-09-09,65.0,63.0
2026-09-10,65.0,63.0
2026-09-11,65.0,63.0
2026-09-14,65.0,61.0
2026-09-15,65.0,62.0
2026-09-16,65.0,61.0
2026-09-17,60.0,61.0
2026-09-18,60.0,61.0
2026-09-21,65.0,60.0
2026-09-22,65.0,60.0
2026-09-23,65.0,58.0
2026-09-24,65.0,58.0
