Date,CallWall,PutWall
2026-06-26,115.0,105.0
2026-06-29,109.0,110.0
2026-06-30,109.0,100.0
2026-07-01,120.0,100.0
2026-07-02,120.0,100.0
2026-07-06,108.0,100.0
2026-07-07,109.0,100.0
2026-07-08,112.0,100.0
2026-07-09,120.0,100.0
2026-07-10,120.0,100.0
2026-07-13,120.0,100.0
2026-07-14,120.0,100.0
2026-07-15,120.0,100.0
2026-07-16,120.0,100.0
2026-07-17,125.0,100.0
2026-07-20,130.0,110.0
2026-07-21,130.0,110.0
2026-07-22,130.0,118.0
2026-07-23,140.0,118.0
2026-07-24,135.0,118.0
2026-07-27,111.0,125.0
2026-07-28,111.0,118.0
2026-07-29,130.0,118.0
2026-07-30,130.0,125.0
2026-07-31,129.0,125.0
2026-08-03,111.0,125.0
2026-08-04,111.0,115.0
2026-08-05,111.0,115.0
2026-08-06,111.0,110.0
2026-08-07,120.0,113.0
2026-08-10,130.0,110.0
2026-08-11,130.0,110.0
2026-08-12,130.0,110.0
2026-08-13,130.0,110.0
2026-08-14,126.0,110.0
2026-08-17,130.0,115.0
2026-08-18,130.0,115.0
2026-08-19,130.0,115.0
2026-08-20,135.0,115.0
2026-08-21,135.0,115.0
2026-08-24,134.0,100.0
2026-08-25,134.0,120.0
2026-08-26,134.0,125.0
2026-08-27,134.0,125.0
2026-08-28,129.0,125.0
2026-08-31,134.0,120.0
2026-09-01,140.0,115.0
2026-09-02,140.0,130.0
2026-09-03,145.0,130.0
2026-09-04,143.0,130.0
2026-09-08,145.0,130.0
2026-09-09,150.0,135.0
2026-09-10,155.0,140.0
2026-09-11,155.0,140.0
2026-09-14,160.0,140.0
2026-09-15,160.0,140.0
2026-09-16,160.0,145.0
2026-09-17,160.0,150.0
2026-09-18,155.0,145.0
2026-09-21,151.0,145.0
2026-09-22,151.0,145.0
2026-09-23,150.0,140.0
2026-09-24,151.0,140.0
