Date,CallWall,PutWall
2026-06-26,340.0,315.0
2026-06-29,340.0,315.0
2026-06-30,340.0,330.0
2026-07-01,350.0,330.0
2026-07-02,360.0,330.0
2026-07-06,360.0,330.0
2026-07-07,340.0,330.0
2026-07-08,340.0,347.5
2026-07-09,340.0,330.0
2026-07-10,350.0,330.0
2026-07-13,360.0,330.0
2026-07-14,360.0,330.0
2026-07-15,360.0,330.0
2026-07-16,360.0,330.0
2026-07-17,360.0,330.0
2026-07-20,365.0,330.0
2026-07-21,365.0,330.0
2026-07-22,365.0,330.0
2026-07-23,375.0,330.0
2026-07-24,355.0,330.0
2026-07-27,375.0,330.0
2026-07-28,375.0,330.0
2026-07-29,375.0,330.0
2026-07-30,375.0,330.0
2026-07-31,365.0,362.5
2026-08-03,375.0,357.5
2026-08-04,375.0,357.5
2026-08-05,375.0,357.5
2026-08-06,375.0,357.5
2026-08-07,375.0,362.5
2026-08-10,365.0,357.5
2026-08-11,365.0,357.5
2026-08-12,365.0,357.5
2026-08-13,365.0,357.5
2026-08-14,365.0,357.5
2026-08-17,365.0,357.5
2026-08-18,365.0,355.0
2026-08-19,375.0,355.0
2026-08-20,365.0,355.0
2026-08-21,370.0,355.0
2026-08-24,375.0,340.0
2026-08-25,385.0,340.0
2026-08-26,385.0,340.0
2026-08-27,385.0,372.5
2026-08-28,385.0,340.0
2026-08-31,385.0,372.5
2026-09-01,375.0,372.5
2026-09-02,385.0,367.5
2026-09-03,385.0,372.5
2026-09-04,385.0,372.5
2026-09-07,375.0,367.5
2026-09-08,375.0,367.5
2026-09-09,375.0,367.5
2026-09-10,375.0,365.0
2026-09-11,375.0,365.0
2026-09-14,375.0,365.0
2026-09-15,375.0,350.0
2026-09-16,375.0,365.0
2026-09-17,375.0,372.5
2026-09-18,370.0,350.0
2026-09-21,380.0,350.0
2026-09-22,380.0,350.0
2026-09-23,380.0,350.0
2026-09-24,380.0,350.0
