Date,CallWall,PutWall
2026-06-26,30.0,27.5
2026-06-29,30.0,27.5
2026-06-30,30.0,27.5
2026-07-01,27.5,25.0
2026-07-02,30.0,27.5
2026-07-06,30.0,27.5
2026-07-07,30.0,27.5
2026-07-08,27.5,25.0
2026-07-09,27.5,25.0
2026-07-10,27.5,25.0
2026-07-13,27.5,25.0
2026-07-14,27.5,25.0
2026-07-15,27.5,25.0
2026-07-16,27.5,25.0
2026-07-17,27.5,25.0
2026-07-20,27.5,25.0
2026-07-21,27.5,25.0
2026-07-22,27.5,25.0
2026-07-23,27.5,25.0
2026-07-24,27.5,25.0
2026-07-27,27.5,25.0
2026-07-28,27.5,25.0
2026-07-29,27.5,25.0
2026-07-30,27.5,25.0
2026-07-31,27.5,25.0
2026-08-03,27.5,25.0
2026-08-04,27.5,25.0
2026-08-05,27.5,25.0
2026-08-06,27.5,25.0
2026-08-07,27.5,25.0
2026-08-10,27.5,25.0
2026-08-11,27.5,25.0
2026-08-12,27.5,25.0
2026-08-13,27.5,25.0
2026-08-14,27.5,25.0
2026-08-17,27.5,25.0
2026-08-18,27.5,25.0
2026-08-19,27.5,25.0
2026-08-20,27.5,25.0
2026-08-21,27.5,25.0
2026-08-24,27.5,25.0
2026-08-25,27.5,25.0
2026-08-26,27.5,25.0
2026-08-27,27.5,25.0
2026-08-28,27.5,25.0
2026-08-31,27.5,25.0
2026-09-01,27.5,25.0
2026-09-02,27.5,25.0
2026-09-03,27.5,25.0
2026-09-04,27.5,25.0
2026-09-07,27.5,25.0
2026-09-08,27.5,25.0
2026-09-09,27.5,25.0
2026-09-10,27.5,25.0
2026-09-11,27.5,25.0
2026-09-14,27.5,22.5
2026-09-15,27.5,25.0
2026-09-16,27.5,25.0
2026-09-17,27.5,22.5
2026-09-18,27.5,22.5
2026-09-21,25.0,22.5
2026-09-22,25.0,22.5
2026-09-23,25.0,22.5
2026-09-24,25.0,22.5
