Date,CallWall,PutWall
2026-06-26,25.0,17.0
2026-06-29,25.0,17.0
2026-06-30,25.0,16.0
2026-07-01,20.0,16.0
2026-07-02,20.0,16.0
2026-07-06,20.0,16.0
2026-07-07,20.0,16.0
2026-07-08,20.0,16.0
2026-07-09,20.0,16.0
2026-07-10,20.0,15.0
2026-07-13,20.0,16.0
2026-07-14,20.0,16.0
2026-07-15,20.0,16.0
2026-07-16,20.0,16.0
2026-07-17,25.0,17.0
2026-07-20,20.0,17.0
2026-07-21,20.0,17.0
2026-07-22,25.0,17.0
2026-07-23,25.0,16.0
2026-07-24,25.0,17.0
2026-07-27,25.0,17.0
2026-07-28,25.0,18.0
2026-07-29,25.0,17.0
2026-07-30,25.0,17.0
2026-07-31,20.0,17.0
2026-08-03,20.0,16.0
2026-08-04,20.0,16.0
2026-08-05,20.0,15.5
2026-08-06,20.0,15.0
2026-08-07,20.0,14.5
2026-08-10,20.0,15.5
2026-08-11,20.0,15.5
2026-08-12,20.0,14.5
2026-08-13,20.0,14.5
2026-08-14,20.0,14.0
2026-08-17,20.0,15.0
2026-08-18,20.0,16.0
2026-08-19,20.0,15.0
2026-08-20,20.0,16.0
2026-08-21,20.0,15.5
2026-08-24,20.0,16.0
2026-08-25,20.0,15.5
2026-08-26,20.0,15.5
2026-08-27,20.0,14.5
2026-08-28,20.0,14.5
2026-08-31,20.0,15.5
2026-09-01,20.0,16.0
2026-09-02,20.0,15.5
2026-09-03,20.0,14.5
2026-09-04,20.0,14.0
2026-09-08,20.0,15.5
2026-09-09,20.0,16.0
2026-09-10,20.0,17.0
2026-09-11,20.0,16.0
2026-09-14,20.0,16.0
2026-09-15,20.0,17.0
2026-09-16,20.0,16.5
2026-09-17,20.0,16.0
2026-09-18,20.0,15.0
2026-09-21,20.0,15.0
2026-09-22,20.0,14.0
2026-09-23,20.0,15.0
2026-09-24,20.0,15.5
