Date,CallWall,PutWall
2026-06-26,260.0,220.0
2026-06-29,260.0,245.0
2026-06-30,260.0,245.0
2026-07-01,260.0,245.0
2026-07-02,270.0,245.0
2026-07-06,260.0,252.5
2026-07-07,260.0,252.5
2026-07-08,280.0,252.5
2026-07-09,270.0,252.5
2026-07-10,280.0,267.5
2026-07-13,300.0,240.0
2026-07-14,300.0,240.0
2026-07-15,300.0,240.0
2026-07-16,300.0,240.0
2026-07-17,310.0,280.0
2026-07-20,320.0,280.0
2026-07-21,320.0,280.0
2026-07-22,320.0,280.0
2026-07-23,300.0,280.0
2026-07-24,320.0,280.0
2026-07-27,320.0,280.0
2026-07-28,310.0,280.0
2026-07-29,310.0,280.0
2026-07-30,310.0,280.0
2026-07-31,310.0,280.0
2026-08-03,320.0,280.0
2026-08-04,320.0,280.0
2026-08-05,310.0,280.0
2026-08-06,310.0,280.0
2026-08-07,320.0,297.5
2026-08-10,320.0,280.0
2026-08-11,320.0,280.0
2026-08-12,320.0,280.0
2026-08-13,320.0,280.0
2026-08-14,340.0,337.5
2026-08-17,380.0,337.5
2026-08-18,380.0,337.5
2026-08-19,350.0,325.0
2026-08-20,320.0,335.0
2026-08-21,350.0,335.0
2026-08-24,380.0,325.0
2026-08-25,380.0,325.0
2026-08-26,380.0,335.0
2026-08-27,380.0,335.0
2026-08-28,380.0,335.0
2026-08-31,380.0,335.0
2026-09-01,380.0,335.0
2026-09-02,380.0,342.5
2026-09-03,380.0,342.5
2026-09-04,380.0,362.5
2026-09-07,380.0,342.5
2026-09-08,380.0,345.0
2026-09-09,380.0,365.0
2026-09-10,380.0,345.0
2026-09-11,390.0,340.0
2026-09-14,380.0,320.0
2026-09-15,380.0,320.0
2026-09-16,400.0,357.5
2026-09-17,410.0,320.0
2026-09-18,410.0,320.0
2026-09-21,420.0,400.0
2026-09-22,410.0,375.0
2026-09-23,410.0,370.0
2026-09-24,410.0,375.0
