Date,CallWall,PutWall
2026-06-26,310.0,250.0
2026-06-29,310.0,250.0
2026-06-30,300.0,250.0
2026-07-01,300.0,250.0
2026-07-02,300.0,250.0
2026-07-06,300.0,250.0
2026-07-07,300.0,250.0
2026-07-08,300.0,250.0
2026-07-09,300.0,250.0
2026-07-10,300.0,270.0
2026-07-13,300.0,270.0
2026-07-14,300.0,270.0
2026-07-15,300.0,270.0
2026-07-16,300.0,270.0
2026-07-17,300.0,290.0
2026-07-20,300.0,270.0
2026-07-21,300.0,270.0
2026-07-22,300.0,270.0
2026-07-23,300.0,270.0
2026-07-24,320.0,270.0
2026-07-27,320.0,270.0
2026-07-28,320.0,270.0
2026-07-29,320.0,270.0
2026-07-30,290.0,270.0
2026-07-31,290.0,270.0
2026-08-03,290.0,270.0
2026-08-04,290.0,270.0
2026-08-05,290.0,270.0
2026-08-06,290.0,270.0
2026-08-07,290.0,270.0
2026-08-10,290.0,270.0
2026-08-11,290.0,270.0
2026-08-12,290.0,270.0
2026-08-13,290.0,270.0
2026-08-14,290.0,270.0
2026-08-17,290.0,270.0
2026-08-18,290.0,270.0
2026-08-19,290.0,270.0
2026-08-20,280.0,270.0
2026-08-21,290.0,270.0
2026-08-24,300.0,240.0
2026-08-25,300.0,240.0
2026-08-26,300.0,240.0
2026-08-27,310.0,240.0
2026-08-28,280.0,240.0
2026-08-31,300.0,240.0
2026-09-01,300.0,240.0
2026-09-02,300.0,240.0
2026-09-03,300.0,240.0
2026-09-04,300.0,240.0
2026-09-07,300.0,240.0
2026-09-08,300.0,240.0
2026-09-09,270.0,240.0
2026-09-10,270.0,240.0
2026-09-11,270.0,240.0
2026-09-14,270.0,240.0
2026-09-15,270.0,240.0
2026-09-16,270.0,240.0
2026-09-17,270.0,240.0
2026-09-18,270.0,240.0
2026-09-21,240.0,250.0
2026-09-22,240.0,250.0
2026-09-23,270.0,250.0
2026-09-24,240.0,250.0
