Date,CallWall,PutWall
2026-06-26,515.0,480.0
2026-06-29,515.0,480.0
2026-06-30,515.0,495.0
2026-07-01,515.0,495.0
2026-07-02,515.0,470.0
2026-07-06,515.0,495.0
2026-07-07,515.0,495.0
2026-07-08,500.0,497.5
2026-07-09,500.0,480.0
2026-07-10,490.0,480.0
2026-07-13,500.0,480.0
2026-07-14,500.0,480.0
2026-07-15,490.0,480.0
2026-07-16,490.0,480.0
2026-07-17,490.0,480.0
2026-07-20,500.0,465.0
2026-07-21,500.0,480.0
2026-07-22,500.0,465.0
2026-07-23,500.0,470.0
2026-07-24,485.0,470.0
2026-07-27,500.0,480.0
2026-07-28,500.0,465.0
2026-07-29,500.0,465.0
2026-07-30,500.0,465.0
2026-07-31,500.0,465.0
2026-08-03,500.0,465.0
2026-08-04,500.0,465.0
2026-08-05,510.0,465.0
2026-08-06,500.0,465.0
2026-08-07,500.0,465.0
2026-08-10,505.0,510.0
2026-08-11,530.0,510.0
2026-08-12,530.0,510.0
2026-08-13,505.0,510.0
2026-08-14,505.0,470.0
2026-08-17,520.0,510.0
2026-08-18,550.0,470.0
2026-08-19,550.0,480.0
2026-08-20,550.0,470.0
2026-08-21,550.0,540.0
2026-08-24,550.0,420.0
2026-08-25,550.0,470.0
2026-08-26,550.0,470.0
2026-08-27,550.0,460.0
2026-08-28,550.0,537.5
2026-08-31,550.0,470.0
2026-09-01,550.0,420.0
2026-09-02,550.0,470.0
2026-09-03,550.0,470.0
2026-09-04,550.0,547.5
2026-09-07,555.0,420.0
2026-09-08,555.0,470.0
2026-09-09,555.0,470.0
2026-09-10,530.0,510.0
2026-09-11,530.0,500.0
2026-09-14,530.0,500.0
2026-09-15,530.0,500.0
2026-09-16,530.0,500.0
2026-09-17,550.0,500.0
2026-09-18,550.0,500.0
2026-09-21,560.0,500.0
2026-09-22,515.0,500.0
2026-09-23,515.0,500.0
2026-09-24,525.0,520.0
