Date,CallWall,PutWall
2026-06-26,165.0,160.0
2026-06-29,170.0,160.0
2026-06-30,170.0,160.0
2026-07-01,170.0,145.0
2026-07-02,170.0,150.0
2026-07-06,170.0,145.0
2026-07-07,170.0,145.0
2026-07-08,170.0,145.0
2026-07-09,170.0,145.0
2026-07-10,160.0,150.0
2026-07-13,170.0,150.0
2026-07-14,170.0,150.0
2026-07-15,170.0,150.0
2026-07-16,160.0,150.0
2026-07-17,170.0,150.0
2026-07-20,162.5,150.0
2026-07-21,170.0,150.0
2026-07-22,170.0,150.0
2026-07-23,170.0,150.0
2026-07-24,162.5,150.0
2026-07-27,165.0,150.0
2026-07-28,165.0,150.0
2026-07-29,165.0,150.0
2026-07-30,165.0,150.0
2026-07-31,165.0,148.0
2026-08-03,165.0,150.0
2026-08-04,165.0,150.0
2026-08-05,165.0,130.0
2026-08-06,165.0,130.0
2026-08-07,165.0,140.0
2026-08-10,165.0,150.0
2026-08-11,155.0,140.0
2026-08-12,155.0,140.0
2026-08-13,155.0,150.0
2026-08-14,155.0,125.0
2026-08-17,155.0,150.0
2026-08-18,160.0,140.0
2026-08-19,160.0,140.0
2026-08-20,160.0,140.0
2026-08-21,160.0,137.0
2026-08-24,160.0,125.0
2026-08-25,160.0,125.0
2026-08-26,160.0,125.0
2026-08-27,160.0,135.0
2026-08-28,160.0,135.0
2026-08-31,160.0,125.0
2026-09-01,160.0,125.0
2026-09-02,160.0,150.0
2026-09-03,146.0,150.0
2026-09-04,146.0,150.0
2026-09-07,160.0,150.0
2026-09-08,160.0,150.0
2026-09-09,155.0,150.0
2026-09-10,155.0,145.0
2026-09-11,160.0,135.0
2026-09-14,160.0,135.0
2026-09-15,160.0,135.0
2026-09-16,160.0,135.0
2026-09-17,160.0,140.0
2026-09-18,145.0,140.0
2026-09-21,160.0,135.0
2026-09-22,160.0,135.0
2026-09-23,160.0,135.0
2026-09-24,160.0,135.0
