Date,CallWall,PutWall
2026-06-26,47.0,45.0
2026-06-29,49.0,44.0
2026-06-30,46.0,42.0
2026-07-01,43.5,42.0
2026-07-02,50.0,41.5
2026-07-06,43.5,44.0
2026-07-07,43.5,44.0
2026-07-08,42.5,44.0
2026-07-09,42.0,41.5
2026-07-10,42.5,42.0
2026-07-13,46.0,42.0
2026-07-14,46.0,42.0
2026-07-15,46.0,42.0
2026-07-16,46.0,44.0
2026-07-17,46.0,44.0
2026-07-20,46.0,43.0
2026-07-21,46.0,43.0
2026-07-22,46.0,43.0
2026-07-23,46.0,43.0
2026-07-24,46.0,44.0
2026-07-27,46.0,43.0
2026-07-28,46.0,43.0
2026-07-29,46.0,43.0
2026-07-30,46.0,43.0
2026-07-31,46.0,46.5
2026-08-03,46.0,46.5
2026-08-04,46.0,46.5
2026-08-05,47.0,45.5
2026-08-06,47.0,43.0
2026-08-07,47.0,43.0
2026-08-10,48.0,46.5
2026-08-11,48.0,46.5
2026-08-12,48.0,46.5
2026-08-13,48.0,46.5
2026-08-14,50.0,45.0
2026-08-17,50.0,45.0
2026-08-18,50.0,45.0
2026-08-19,50.0,45.0
2026-08-20,50.0,45.0
2026-08-21,50.0,45.0
2026-08-24,50.0,45.0
2026-08-25,50.0,45.0
2026-08-26,50.0,45.0
2026-08-27,50.0,45.0
2026-08-28,50.0,45.0
2026-08-31,50.0,45.0
2026-09-01,50.0,49.5
2026-09-02,50.0,49.5
2026-09-03,51.0,49.5
2026-09-04,51.0,50.0
2026-09-08,50.0,49.5
2026-09-09,48.0,49.0
2026-09-10,50.0,49.5
2026-09-11,51.0,49.5
2026-09-14,52.5,46.0
2026-09-15,52.5,47.0
2026-09-16,50.0,45.0
2026-09-17,48.0,48.5
2026-09-18,48.0,48.5
2026-09-21,50.0,46.0
2026-09-22,50.0,46.0
2026-09-23,50.0,46.0
2026-09-24,50.0,46.0
