Date,CallWall,PutWall
2026-06-26,28.0,25.0
2026-06-29,28.0,25.0
2026-06-30,28.0,25.0
2026-07-01,28.0,25.0
2026-07-02,28.0,25.0
2026-07-06,28.0,25.0
2026-07-07,28.0,25.0
2026-07-08,28.0,25.0
2026-07-09,28.0,25.0
2026-07-10,29.0,25.0
2026-07-13,28.0,25.0
2026-07-14,28.0,25.0
2026-07-15,29.0,25.0
2026-07-16,29.0,25.0
2026-07-17,29.0,25.0
2026-07-20,29.0,25.0
2026-07-21,29.0,25.0
2026-07-22,29.0,25.0
2026-07-23,28.0,25.0
2026-07-24,28.0,25.0
2026-07-27,28.0,25.0
2026-07-28,28.0,25.0
2026-07-29,28.0,25.0
2026-07-30,28.0,25.0
2026-07-31,28.0,25.0
2026-08-03,28.0,25.0
2026-08-04,28.0,25.0
2026-08-05,28.0,25.0
2026-08-06,28.0,25.0
2026-08-07,28.0,25.0
2026-08-10,28.0,25.0
2026-08-11,28.0,25.0
2026-08-12,28.0,25.0
2026-08-13,28.0,25.0
2026-08-14,28.0,25.0
2026-08-17,28.0,25.0
2026-08-18,28.0,25.0
2026-08-19,29.0,25.0
2026-08-20,28.0,25.0
2026-08-21,29.0,25.0
2026-08-24,29.0,26.0
2026-08-25,29.0,21.0
2026-08-26,29.0,28.5
2026-08-27,29.0,28.5
2026-08-28,29.0,28.5
2026-08-31,29.0,21.0
2026-09-01,29.0,28.5
2026-09-02,29.0,28.5
2026-09-03,29.0,26.0
2026-09-04,29.0,26.0
2026-09-08,29.0,25.0
2026-09-09,29.0,26.0
2026-09-10,29.0,27.0
2026-09-11,29.0,27.0
2026-09-14,29.0,27.0
2026-09-15,29.0,27.0
2026-09-16,29.0,27.0
2026-09-17,29.0,27.0
2026-09-18,29.0,27.0
2026-09-21,31.0,28.0
2026-09-22,31.0,27.0
2026-09-23,31.0,27.0
2026-09-24,31.0,27.0
