Date,CallWall,PutWall
2026-06-26,700.0,500.0
2026-06-29,680.0,650.0
2026-06-30,700.0,650.0
2026-07-01,700.0,575.0
2026-07-02,700.0,550.0
2026-07-06,700.0,575.0
2026-07-07,700.0,500.0
2026-07-08,620.0,500.0
2026-07-09,620.0,575.0
2026-07-10,700.0,575.0
2026-07-13,620.0,500.0
2026-07-14,650.0,500.0
2026-07-15,650.0,500.0
2026-07-16,610.0,500.0
2026-07-17,600.0,500.0
2026-07-20,650.0,460.0
2026-07-21,650.0,430.0
2026-07-22,650.0,460.0
2026-07-23,650.0,540.0
2026-07-24,525.0,540.0
2026-07-27,590.0,470.0
2026-07-28,590.0,470.0
2026-07-29,590.0,490.0
2026-07-30,600.0,490.0
2026-07-31,550.0,540.0
2026-08-03,590.0,450.0
2026-08-04,590.0,450.0
2026-08-05,590.0,450.0
2026-08-06,590.0,450.0
2026-08-07,530.0,430.0
2026-08-10,430.0,450.0
2026-08-11,430.0,450.0
2026-08-12,500.0,450.0
2026-08-13,500.0,450.0
2026-08-14,500.0,490.0
2026-08-17,590.0,450.0
2026-08-18,590.0,450.0
2026-08-19,425.0,450.0
2026-08-20,425.0,450.0
2026-08-21,425.0,450.0
2026-08-24,500.0,440.0
2026-08-25,500.0,440.0
2026-08-26,500.0,440.0
2026-08-27,500.0,440.0
2026-08-28,465.0,437.5
2026-08-31,425.0,440.0
2026-09-01,500.0,440.0
2026-09-02,465.0,440.0
2026-09-03,465.0,440.0
2026-09-04,460.0,450.0
2026-09-08,520.0,540.0
2026-09-09,470.0,477.5
2026-09-10,470.0,440.0
2026-09-11,470.0,455.0
2026-09-14,465.0,420.0
2026-09-15,500.0,420.0
2026-09-16,500.0,420.0
2026-09-17,500.0,420.0
2026-09-18,445.0,440.0
2026-09-21,500.0,420.0
2026-09-22,500.0,420.0
2026-09-23,500.0,420.0
2026-09-24,500.0,460.0
