Date,CallWall,PutWall
2026-06-26,230.0,210.0
2026-06-29,230.0,210.0
2026-06-30,230.0,200.0
2026-07-01,230.0,210.0
2026-07-02,230.0,200.0
2026-07-06,230.0,210.0
2026-07-07,240.0,220.0
2026-07-08,240.0,200.0
2026-07-09,230.0,200.0
2026-07-10,240.0,220.0
2026-07-13,240.0,210.0
2026-07-14,240.0,210.0
2026-07-15,240.0,210.0
2026-07-16,240.0,210.0
2026-07-17,240.0,210.0
2026-07-20,240.0,210.0
2026-07-21,240.0,210.0
2026-07-22,250.0,210.0
2026-07-23,250.0,210.0
2026-07-24,250.0,210.0
2026-07-27,250.0,210.0
2026-07-28,250.0,210.0
2026-07-29,250.0,220.0
2026-07-30,240.0,220.0
2026-07-31,240.0,220.0
2026-08-03,240.0,220.0
2026-08-04,240.0,220.0
2026-08-05,240.0,220.0
2026-08-06,240.0,220.0
2026-08-07,240.0,220.0
2026-08-10,240.0,220.0
2026-08-11,240.0,220.0
2026-08-12,240.0,220.0
2026-08-13,240.0,220.0
2026-08-14,230.0,220.0
2026-08-17,230.0,220.0
2026-08-18,230.0,220.0
2026-08-19,230.0,220.0
2026-08-20,230.0,220.0
2026-08-21,230.0,220.0
2026-08-24,230.0,220.0
2026-08-25,230.0,220.0
2026-08-26,230.0,220.0
2026-08-27,230.0,220.0
2026-08-28,230.0,220.0
2026-08-31,230.0,220.0
2026-09-01,230.0,220.0
2026-09-02,230.0,220.0
2026-09-03,230.0,220.0
2026-09-04,230.0,220.0
2026-09-07,230.0,220.0
2026-09-08,230.0,220.0
2026-09-09,250.0,220.0
2026-09-10,230.0,220.0
2026-09-11,220.0,210.0
2026-09-14,230.0,220.0
2026-09-15,230.0,220.0
2026-09-16,220.0,210.0
2026-09-17,230.0,210.0
2026-09-18,220.0,210.0
2026-09-21,230.0,210.0
2026-09-22,230.0,210.0
2026-09-23,230.0,200.0
2026-09-24,230.0,200.0
