Date,CallWall,PutWall
2026-06-26,75.0,65.0
2026-06-29,75.0,65.0
2026-06-30,75.0,65.0
2026-07-01,75.0,65.0
2026-07-02,75.0,65.0
2026-07-06,75.0,73.0
2026-07-07,75.0,73.0
2026-07-08,75.0,73.0
2026-07-09,75.0,65.0
2026-07-10,75.0,69.0
2026-07-13,75.0,68.0
2026-07-14,75.0,68.0
2026-07-15,75.0,69.0
2026-07-16,75.0,69.0
2026-07-17,75.0,69.0
2026-07-20,75.0,69.0
2026-07-21,75.0,69.0
2026-07-22,75.0,68.0
2026-07-23,75.0,68.0
2026-07-24,75.0,68.0
2026-07-27,75.0,69.0
2026-07-28,75.0,69.0
2026-07-29,75.0,69.0
2026-07-30,75.0,69.0
2026-07-31,75.0,69.0
2026-08-03,75.0,68.0
2026-08-04,75.0,68.0
2026-08-05,75.0,68.0
2026-08-06,75.0,68.0
2026-08-07,75.0,68.0
2026-08-10,75.0,68.0
2026-08-11,75.0,68.0
2026-08-12,75.0,68.0
2026-08-13,75.0,68.0
2026-08-14,75.0,64.0
2026-08-17,75.0,64.0
2026-08-18,75.0,65.0
2026-08-19,75.0,65.0
2026-08-20,75.0,65.0
2026-08-21,75.0,65.0
2026-08-24,75.0,65.0
2026-08-25,75.0,64.0
2026-08-26,75.0,64.0
2026-08-27,74.0,73.0
2026-08-28,74.0,73.0
2026-08-31,75.0,73.0
2026-09-01,75.0,73.0
2026-09-02,75.0,73.0
2026-09-03,75.0,73.0
2026-09-04,75.0,73.0
2026-09-07,75.0,65.0
2026-09-08,75.0,65.0
2026-09-09,75.0,65.0
2026-09-10,75.0,65.0
2026-09-11,75.0,67.0
2026-09-14,75.0,67.0
2026-09-15,80.0,67.0
2026-09-16,75.0,67.0
2026-09-17,75.0,67.0
2026-09-18,75.0,67.0
2026-09-21,75.0,67.0
2026-09-22,75.0,67.0
2026-09-23,75.0,67.0
2026-09-24,75.0,67.0
