Date,CallWall,PutWall
2026-06-26,125.0,110.0
2026-06-29,125.0,110.0
2026-06-30,116.0,110.0
2026-07-01,120.0,110.0
2026-07-02,112.0,110.0
2026-07-06,118.0,110.0
2026-07-07,118.0,110.0
2026-07-08,118.0,110.0
2026-07-09,118.0,110.0
2026-07-10,115.0,105.0
2026-07-13,118.0,105.0
2026-07-14,118.0,105.0
2026-07-15,118.0,105.0
2026-07-16,118.0,105.0
2026-07-17,118.0,115.0
2026-07-20,115.0,105.0
2026-07-21,115.0,105.0
2026-07-22,120.0,105.0
2026-07-23,120.0,105.0
2026-07-24,110.0,105.0
2026-07-27,120.0,105.0
2026-07-28,120.0,105.0
2026-07-29,120.0,105.0
2026-07-30,120.0,111.0
2026-07-31,112.0,111.0
2026-08-03,120.0,105.0
2026-08-04,113.0,105.0
2026-08-05,113.0,105.0
2026-08-06,113.0,105.0
2026-08-07,113.0,105.0
2026-08-10,120.0,105.0
2026-08-11,115.0,105.0
2026-08-12,115.0,119.0
2026-08-13,116.0,119.0
2026-08-14,116.0,115.0
2026-08-17,120.0,105.0
2026-08-18,120.0,110.0
2026-08-19,120.0,119.0
2026-08-20,117.0,105.0
2026-08-21,117.0,105.0
2026-08-24,104.0,100.0
2026-08-25,110.0,100.0
2026-08-26,106.0,100.0
2026-08-27,110.0,100.0
2026-08-28,103.0,100.0
2026-08-31,110.0,100.0
2026-09-01,110.0,100.0
2026-09-02,107.0,100.0
2026-09-03,110.0,100.0
2026-09-04,107.0,106.0
2026-09-07,110.0,100.0
2026-09-08,110.0,105.0
2026-09-09,110.0,105.0
2026-09-10,110.0,105.0
2026-09-11,110.0,100.0
2026-09-14,110.0,100.0
2026-09-15,110.0,100.0
2026-09-16,110.0,100.0
2026-09-17,110.0,105.0
2026-09-18,110.0,105.0
2026-09-21,110.0,100.0
2026-09-22,110.0,100.0
2026-09-23,110.0,100.0
2026-09-24,110.0,100.0
