Date,CallWall,PutWall
2026-06-26,150.0,149.0
2026-06-29,158.0,149.0
2026-06-30,158.0,149.0
2026-07-01,160.0,149.0
2026-07-02,160.0,155.0
2026-07-06,160.0,157.0
2026-07-07,166.0,155.0
2026-07-08,160.0,156.0
2026-07-09,164.0,161.0
2026-07-10,160.0,155.0
2026-07-13,168.0,155.0
2026-07-14,160.0,155.0
2026-07-15,160.0,155.0
2026-07-16,145.0,155.0
2026-07-17,168.0,153.0
2026-07-20,168.0,152.0
2026-07-21,156.0,150.0
2026-07-22,168.0,150.0
2026-07-23,154.0,150.0
2026-07-24,156.0,150.0
2026-07-27,168.0,152.0
2026-07-28,168.0,152.0
2026-07-29,168.0,152.0
2026-07-30,168.0,152.0
2026-07-31,168.0,147.0
2026-08-03,168.0,155.0
2026-08-04,168.0,152.0
2026-08-05,160.0,152.0
2026-08-06,160.0,152.0
2026-08-07,160.0,155.0
2026-08-10,160.0,155.0
2026-08-11,160.0,155.0
2026-08-12,160.0,155.0
2026-08-13,160.0,155.0
2026-08-14,160.0,155.0
2026-08-17,160.0,155.0
2026-08-18,160.0,155.0
2026-08-19,168.0,150.0
2026-08-20,168.0,163.0
2026-08-21,165.0,163.0
2026-08-24,170.0,150.0
2026-08-25,170.0,150.0
2026-08-26,170.0,150.0
2026-08-27,170.0,167.0
2026-08-28,170.0,150.0
2026-08-31,170.0,160.0
2026-09-01,170.0,160.0
2026-09-02,170.0,160.0
2026-09-03,170.0,158.0
2026-09-04,170.0,158.0
2026-09-08,170.0,158.0
2026-09-09,164.0,158.0
2026-09-10,165.0,158.0
2026-09-11,164.0,158.0
2026-09-14,170.0,158.0
2026-09-15,170.0,150.0
2026-09-16,170.0,150.0
2026-09-17,170.0,158.0
2026-09-18,170.0,156.0
2026-09-21,170.0,150.0
2026-09-22,170.0,150.0
2026-09-23,170.0,150.0
2026-09-24,170.0,150.0
